county,countyCode,year,total_sol,city,cityCode,province,provinceCode
乌苏市,654202,2013,7.3896254867727285,塔城地区,654200,新疆维吾尔自治区,650000
塔什库尔干塔吉克自治县,653131,2013,6.161305631772526,喀什地区,653100,新疆维吾尔自治区,650000
和布克赛尔蒙古自治县,654226,2013,9.210072089366308,塔城地区,654200,新疆维吾尔自治区,650000
台湾省,710000,2013,25.69969347567954,台湾省,710000,台湾省,710000
昌宁县,530524,2013,7.018553211188347,保山市,530500,云南省,530000
龙陵县,530523,2013,6.87348330218706,保山市,530500,云南省,530000
施甸县,530521,2013,6.695104782066858,保山市,530500,云南省,530000
富民县,530124,2013,8.533096472588184,昆明市,530100,云南省,530000
嵩明县,530127,2013,13.514826486657839,昆明市,530100,云南省,530000
宜良县,530125,2013,8.711335817556145,昆明市,530100,云南省,530000
华坪县,530723,2013,7.338935359140535,丽江市,530700,云南省,530000
永胜县,530722,2013,6.583174656351805,丽江市,530700,云南省,530000
凤庆县,530921,2013,7.3874502323184466,临沧市,530900,云南省,530000
永德县,530923,2013,6.340768576616335,临沧市,530900,云南省,530000
云县,530922,2013,7.057364121774985,临沧市,530900,云南省,530000
镇康县,530924,2013,6.927366761044733,临沧市,530900,云南省,530000
富源县,530325,2013,8.017850915755519,曲靖市,530300,云南省,530000
会泽县,530326,2013,7.154935613722391,曲靖市,530300,云南省,530000
陆良县,530322,2013,7.5332605507925825,曲靖市,530300,云南省,530000
罗平县,530324,2013,8.169783386258752,曲靖市,530300,云南省,530000
师宗县,530323,2013,7.768331191845392,曲靖市,530300,云南省,530000
华宁县,530424,2013,7.7755241543946205,玉溪市,530400,云南省,530000
通海县,530423,2013,9.84790208181927,玉溪市,530400,云南省,530000
易门县,530425,2013,6.7475883421611496,玉溪市,530400,云南省,530000
大关县,530624,2013,6.545350660458046,昭通市,530600,云南省,530000
鲁甸县,530621,2013,7.672280128675559,昭通市,530600,云南省,530000
巧家县,530622,2013,6.745296903582553,昭通市,530600,云南省,530000
绥江县,530626,2013,7.476324928542848,昭通市,530600,云南省,530000
威信县,530629,2013,6.72528627877025,昭通市,530600,云南省,530000
盐津县,530623,2013,6.340892579252461,昭通市,530600,云南省,530000
彝良县,530628,2013,6.55309663604338,昭通市,530600,云南省,530000
永善县,530625,2013,7.249244683884792,昭通市,530600,云南省,530000
镇雄县,530627,2013,6.978972343666756,昭通市,530600,云南省,530000
腾冲市,530581,2013,6.938109020883778,保山市,530500,云南省,530000
安宁市,530181,2013,17.38229451334874,昆明市,530100,云南省,530000
宣威市,530381,2013,7.858966700269233,曲靖市,530300,云南省,530000
澄江市,530481,2013,13.511493386907754,玉溪市,530400,云南省,530000
水富市,530681,2013,9.560476381250684,昭通市,530600,云南省,530000
隆阳区,530502,2013,7.545659018899075,保山市,530500,云南省,530000
呈贡区,530114,2013,32.85554875810596,昆明市,530100,云南省,530000
东川区,530113,2013,8.020427422305822,昆明市,530100,云南省,530000
官渡区,530111,2013,36.01679961382396,昆明市,530100,云南省,530000
晋宁区,530115,2013,13.756683950466666,昆明市,530100,云南省,530000
盘龙区,530103,2013,16.576031984095156,昆明市,530100,云南省,530000
五华区,530102,2013,22.073599863344487,昆明市,530100,云南省,530000
西山区,530112,2013,21.729780099588407,昆明市,530100,云南省,530000
古城区,530702,2013,13.13243180040481,丽江市,530700,云南省,530000
临翔区,530902,2013,8.167393706993701,临沧市,530900,云南省,530000
思茅区,530802,2013,9.483577697199012,普洱市,530800,云南省,530000
马龙区,530304,2013,8.95432515934535,曲靖市,530300,云南省,530000
麒麟区,530302,2013,13.453553445990488,曲靖市,530300,云南省,530000
沾益区,530303,2013,9.870423416995438,曲靖市,530300,云南省,530000
红塔区,530402,2013,19.189069377707632,玉溪市,530400,云南省,530000
江川区,530403,2013,7.986990585188982,玉溪市,530400,云南省,530000
昭阳区,530602,2013,11.101525018088719,昭通市,530600,云南省,530000
禄劝彝族苗族自治县,530128,2013,6.8793361358014,昆明市,530100,云南省,530000
石林彝族自治县,530126,2013,8.415482801932578,昆明市,530100,云南省,530000
寻甸回族彝族自治县,530129,2013,7.845989772598021,昆明市,530100,云南省,530000
宁蒗彝族自治县,530724,2013,6.571139604546634,丽江市,530700,云南省,530000
