Sgnyea,Prvcnm_id,Prvcnm,Gdp0101,Gdp0102,Gdp0103,Gdp0106,Gdp0113,Gdp0114,Gdp0115,Gdp0116
1994,230000,黑龙江省,1618.63,316.32,852.97,449.34,19.0168,52.9877,27.9955,4390
1994,350000,福建省,1685.34,372.58,739.52,573.24,22.069,43.8442,34.0868,5193
1994,360000,江西省,948.16,314.35,338.23,295.58,33.1537,35.6722,31.1741,2376
1994,450000,广西壮族自治区,1241.83,357.74,485.57,398.52,27.5359,39.2067,33.2574,2675
1994,320000,江苏省,4057.39,671.94,2186.77,1198.68,16.8576,53.896,29.2464,5801
1994,500000,重庆市,725.14,,,,6.4167,55.7244,37.8589,2541
1994,460000,海南省,330.95,107.55,83.66,139.74,31.9658,25.0979,42.9363,4702
1994,110000,北京市,1084.03,74.77,499.84,509.42,6.8974,46.1094,46.9932,10240
1994,440000,广东省,4240.56,694.65,2139.89,1406.02,14.9869,48.782,36.2311,6530
1994,610000,陕西省,816.58,181.78,336.46,298.34,20.4772,43.4311,36.0917,2424
1994,420000,湖北省,1878.65,501.44,812.56,564.65,29.4805,38.6632,31.8557,2991
1994,330000,浙江省,2666.86,443.87,1388.06,834.93,16.3111,51.9886,31.7007,6201
1994,530000,云南省,973.97,237.51,429.66,306.8,24.0145,43.5748,32.4107,2515
1994,150000,内蒙古自治区,681.92,208.53,261.79,211.6,30.0017,36.6184,33.3799,3094
1994,310000,上海市,1971.92,48.59,1143.24,780.09,2.4641,57.976,39.5599,13807
1994,520000,贵州省,521.17,183.52,195.76,141.89,34.9998,37.143,27.8572,1527
1994,210000,辽宁省,2461.78,318.95,1259.05,883.78,12.958,51.1455,35.9006,6103
1994,140000,山西省,853.77,123.85,440.81,289.11,14.9808,47.9726,37.0467,2729
1994,220000,吉林省,936.78,259.4,398.83,278.55,27.6625,42.3267,30.0108,3657
1994,620000,甘肃省,451.66,103.81,199.32,148.53,22.8985,43.7975,33.3039,1921
1994,130000,河北省,2187.49,451.91,1053.12,682.46,20.6588,48.1428,31.1983,3439
1994,430000,湖南省,1694.42,532.89,618.07,543.46,32.296,35.7402,31.9639,2630
1994,370000,山东省,3872.18,775.03,1900.46,1196.69,20.1594,49.1983,30.6422,4441
1994,630000,青海省,138.24,31.71,58.35,48.18,23.4104,41.7486,34.841,2942
1994,340000,安徽省,1488.47,336.72,744.16,407.59,25.6947,41.0412,33.2642,2257
1994,540000,西藏自治区,45.84,21.1,7.92,16.82,45.9665,17.1342,36.8993,1964
1994,650000,新疆维吾尔自治区,673.68,187.69,265.38,220.61,28.3383,37.6117,34.05,3888
1994,510000,四川省,2777.88,788.39,1166.22,823.27,29.8475,39.1109,31.0416,2481
1995,110000,北京市,1394.89,72.16,645.81,789.72,4.7861,42.8344,52.3795,12690
1995,500000,重庆市,1016.25,264.19,412.28,339.78,25.9966,40.5688,33.4347,3395
1995,120000,天津市,920.11,60.8,518.55,352.62,6.5238,55.6402,37.836,9769
1995,310000,上海市,2462.57,59.82,1419.41,1020.2,2.3933,56.7893,40.8173,17022
1995,142,中国,61339.8913,12020.4838,28676.7319,20642.6756,19.5965,46.7505,33.6529,5091.06
1995,330000,浙江省,3524.79,549.96,1854.52,1153.07,15.459,52.1291,32.4119,8149
1995,460000,海南省,364.17,128.9,78.48,155.87,35.4852,21.605,42.9098,5063
1995,440000,广东省,5381.72,864.49,2900.22,2168.34,14.5708,48.8824,36.5468,8129
1995,340000,安徽省,2003.58,584.12,660.09,566.45,32.2601,36.4558,31.2842,3070
1995,210000,辽宁省,2793.37,392.2,1390,1011.2,14.0402,49.7601,36.1996,6880
1995,370000,山东省,5002.34,1010.13,2355.78,1587.44,20.3929,47.5593,32.0478,5701
1995,320000,江苏省,5155.25,866.24,2715.26,1573.75,16.8031,52.6698,30.5271,7319
1995,230000,黑龙江省,2014.53,371.2,1048.6,571.6,18.6402,52.6564,28.7034,5402
1995,510000,四川省,3534,662.46,980.91,799.84,27.1143,40.1484,32.7373,3043
1995,140000,山西省,1092.48,168.69,494.45,412.89,15.6771,45.9513,38.3716,3515
1995,650000,新疆维吾尔自治区,825.11,240.71,283.97,290.17,29.5404,34.8494,35.6102,4701
