UpdateTimes,Sgnyea,Prvcnm_id,Prvcnm,Tpt0101,Tpt0103,Tpt0104
1,1996,530000,云南省,1592,70279,62936
1,1996,630000,青海省,1095,17383,13056
1,1997,130000,河北省,3616,56009,53111
1,1997,142,中国,66000,1226400,997496
1,1997,330000,浙江省,942,36127,30888
1,1997,500000,重庆市,554,27045,16886
1,1997,340000,安徽省,1836,37481,34806
1,1997,370000,山东省,2351,59260,58912
1,1997,440000,广东省,782,91862,79430
1,1997,540000,西藏自治区,,22455,10525
1,1997,360000,江西省,2125,35234,22557
1,1997,430000,湖南省,2293,59761,31674
1,1997,520000,贵州省,1640,33211,13636
1,1997,620000,甘肃省,2322,35594,25112
1,1997,150000,内蒙古自治区,5078,49992,42351
1,1997,220000,吉林省,3480,33075,31388
1,1997,460000,海南省,219,15246,11105
1,1997,510000,四川省,2327,76066,48309
1,1997,230000,黑龙江省,4948,49631,48956
1,1997,320000,江苏省,751,27102,25300
1,1997,650000,新疆维吾尔自治区,1341,32053,29353
1,1997,210000,辽宁省,3569,44041,43148
1,1997,530000,云南省,1897,73821,66561
1,1997,640000,宁夏回族自治区,712,9048,8426
1,1997,140000,山西省,2504,44043,41110
1,1997,310000,上海市,244,3961,3952
1,1997,410000,河南省,2355,55015,52231
1,1997,420000,湖北省,2017,50779,35489
1,1997,450000,广西壮族自治区,1973,45378,30283
1,1997,630000,青海省,1095,17640,13485
1,1997,110000,北京市,1069,12306,11842
1,1997,120000,天津市,526,4287,4204
1,1997,610000,陕西省,1938,41202,34276
1,1997,350000,福建省,1068,47680,38190
1,1998,410000,河南省,2355,57172,54556
1,1998,510000,四川省,2289,81646,56377
1,1998,110000,北京市,1069,12498,12038
1,1998,150000,内蒙古自治区,5077,58430,52867
1,1998,220000,吉林省,3474,33812,32133
1,1998,620000,甘肃省,2322,35865,25518
1,1998,610000,陕西省,1941,42202,35316
1,1998,640000,宁夏回族自治区,712,9487,8876
1,1998,130000,河北省,3624,57263,54601
1,1998,140000,山西省,2504,48560,45744
1,1998,142,中国,66400,1278500,1069243
1,1998,370000,山东省,2351,64145,63929
1,1998,450000,广西壮族自治区,2014,51073,43319
1,1998,500000,重庆市,591,27210,17516
1,1998,520000,贵州省,1648,33604,14137
1,1998,330000,浙江省,942,38533,34260
1,1998,540000,西藏自治区,,22455,10525
1,1998,210000,辽宁省,3558,44483,43716
1,1998,230000,黑龙江省,4948,49766,49098
1,1998,310000,上海市,248,4104,4095
1,1998,430000,湖南省,2299,60071,32241
1,1998,440000,广东省,774,92713,82786
1,1998,460000,海南省,219,16920,12779
1,1998,340000,安徽省,1836,39264,36851
1,1998,420000,湖北省,2028,52989,38537
1,1998,650000,新疆维吾尔自治区,1341,32762,30304
1,1998,320000,江苏省,757,27331,25610
1,1998,630000,青海省,1092,17936,14024
1,1998,530000,云南省,1855,76957,69783
1,1998,350000,福建省,1068,48021,38866
1,1998,120000,天津市,527,4335,4252
1,1998,360000,江西省,2125,36867,24589
1,1999,210000,辽宁省,3557.7,45020,44398
1,1999,640000,宁夏回族自治区,711.7,10015,9460
1,1999,630000,青海省,1091.8,18268,14549
1,1999,230000,黑龙江省,5013.2,49928,49262
1,1999,440000,广东省,773.5,95610,86123
1,1999,610000,陕西省,1940.7,43212,36396
1,1999,350000,福建省,873.9,50202,41381
1,1999,360000,江西省,2161.4,36918,25328
1,1999,620000,甘肃省,2322.8,36212,26089
1,1999,130000,河北省,3619.4,58162,55648
1,1999,142,中国,67400,1351691,1156736
1,1999,530000,云南省,1872.5,102405,95354
1,1999,650000,新疆维吾尔自治区,1848.5,33484,31149
1,1999,140000,山西省,2511.3,52807,50109
1,1999,150000,内蒙古自治区,5011.5,63824,59731
1,1999,220000,吉林省,3476.4,34516,32931
1,1999,310000,上海市,259.5,4231,4227
1,1999,330000,浙江省,795.1,40266,36136
1,1999,500000,重庆市,591.4,28086,20521
1,1999,520000,贵州省,1653.5,33973,15470
1,1999,370000,山东省,2364.2,67847,67694
1,1999,510000,四川省,2289.6,89318,66878
1,1999,110000,北京市,1141.1,12825,12370
1,1999,120000,天津市,529.6,8844,8761
1,1999,410000,河南省,2353.1,60330,57813
1,1999,420000,湖北省,2030.7,55389,44120
1,1999,450000,广西壮族自治区,2012.8,51378,43671
1,1999,460000,海南省,219,17124,13030
1,1999,340000,安徽省,1833,40857,38701
1,1999,320000,江苏省,757,27749,26088
1,1999,430000,湖南省,2306.5,60416,32766
1,1999,540000,西藏自治区,,22475,10582
1,2000,320000,江苏省,757.1,28198,26564
1,2000,630000,青海省,1091.9,18679,15178
1,2000,130000,河北省,3631.9,59152,56776
1,2000,150000,内蒙古自治区,5011.1,67346,63622
