region,regionCode,year,hdmsp
江西省,360000,1997,147133.0196
辽宁省,210000,1997,720241.6745
青海省,630000,1997,43082.98039
山东省,370000,1997,1499744.529
山西省,140000,1997,827427.2863
陕西省,610000,1997,414632.1686
四川省,510000,1997,253169.7137
台湾省,710000,1997,729019.5686
云南省,530000,1997,288111.6667
浙江省,330000,1997,554485.651
北京市,110000,1997,310768.1725
上海市,310000,1997,265377.1333
天津市,120000,1997,265275.9216
重庆市,500000,1997,79958.17255
广西壮族自治区,450000,1997,283244.0353
内蒙古自治区,150000,1997,346980.5294
宁夏回族自治区,640000,1997,92733.58824
西藏自治区,540000,1997,13021.55294
新疆维吾尔自治区,650000,1997,552470.9137
澳门特别行政区,820000,1997,3791.231373
香港特别行政区,810000,1997,75287.97647
安徽省,340000,1998,514146.9333
福建省,350000,1998,447583.8706
甘肃省,620000,1998,199955.0275
广东省,440000,1998,1302180.557
贵州省,520000,1998,151045.8863
海南省,460000,1998,116129.9059
河北省,130000,1998,1334561.737
河南省,410000,1998,1052218.333
黑龙江省,230000,1998,941339.6863
湖北省,420000,1998,442167.9882
湖南省,430000,1998,283318.2392
吉林省,220000,1998,488767.4745
江苏省,320000,1998,1118800.725
江西省,360000,1998,198271.9451
辽宁省,210000,1998,880646.0039
青海省,630000,1998,45969.63922
山东省,370000,1998,1597327.953
山西省,140000,1998,839607.2392
陕西省,610000,1998,428700.3255
四川省,510000,1998,313802.8863
台湾省,710000,1998,726809.8588
云南省,530000,1998,345534.5059
浙江省,330000,1998,641137.9725
北京市,110000,1998,337786.3647
上海市,310000,1998,260415.9725
天津市,120000,1998,278990.4275
重庆市,500000,1998,130238.6784
广西壮族自治区,450000,1998,316612.4235
内蒙古自治区,150000,1998,445046.5725
宁夏回族自治区,640000,1998,100786.9176
西藏自治区,540000,1998,14108.41176
新疆维吾尔自治区,650000,1998,550713.8549
澳门特别行政区,820000,1998,3618.14902
香港特别行政区,810000,1998,72393.1098
安徽省,340000,1999,449997.1529
福建省,350000,1999,504169.149
甘肃省,620000,1999,210038.8941
广东省,440000,1999,1467587.031
贵州省,520000,1999,172318.8824
海南省,460000,1999,116680.7569
河北省,130000,1999,1268252.459
河南省,410000,1999,963558.3725
黑龙江省,230000,1999,862992.3137
湖北省,420000,1999,446368.5843
湖南省,430000,1999,297581.1608
吉林省,220000,1999,484022.4118
江苏省,320000,1999,1087724.812
江西省,360000,1999,202335.502
辽宁省,210000,1999,830811.6588
青海省,630000,1999,50087.88235
山东省,370000,1999,1543856.039
山西省,140000,1999,791766.3059
陕西省,610000,1999,458375.0196
四川省,510000,1999,363403.6431
台湾省,710000,1999,789059.9216
云南省,530000,1999,370786.5765
浙江省,330000,1999,711450.7137
北京市,110000,1999,330722.3412
上海市,310000,1999,276135.2471
天津市,120000,1999,272741.8039
重庆市,500000,1999,125491.9961
广西壮族自治区,450000,1999,342969.0667
内蒙古自治区,150000,1999,433450.3255
宁夏回族自治区,640000,1999,107467.5294
西藏自治区,540000,1999,18565.63922
新疆维吾尔自治区,650000,1999,547732.4745
澳门特别行政区,820000,1999,3649.596078
香港特别行政区,810000,1999,75415.12549
安徽省,340000,2000,454722.1412
福建省,350000,2000,535525.8314
甘肃省,620000,2000,225753.0235
广东省,440000,2000,1533655.616
贵州省,520000,2000,167376.2314
海南省,460000,2000,156313.3922
河北省,130000,2000,1300068.184
河南省,410000,2000,945025.7373
黑龙江省,230000,2000,1222531.776
湖北省,420000,2000,410196.0588
湖南省,430000,2000,288265.0314
吉林省,220000,2000,652698.2824
江苏省,320000,2000,1074349.851
江西省,360000,2000,177931.6118
辽宁省,210000,2000,926795.7922
青海省,630000,2000,56770.77255
山东省,370000,2000,1644190.918
山西省,140000,2000,831753.651
陕西省,610000,2000,495720.7373
四川省,510000,2000,361213.4784
台湾省,710000,2000,820644.9725
云南省,530000,2000,410820.302
浙江省,330000,2000,718080.7333
北京市,110000,2000,354094.8392
上海市,310000,2000,270550.7882
天津市,120000,2000,276208.8471
重庆市,500000,2000,119251.1922
广西壮族自治区,450000,2000,354572.2235
内蒙古自治区,150000,2000,500107.2824
宁夏回族自治区,640000,2000,112340.0627
西藏自治区,540000,2000,20323.48627
新疆维吾尔自治区,650000,2000,590418.4039
澳门特别行政区,820000,2000,3558.019608
香港特别行政区,810000,2000,75188.92549
安徽省,340000,2001,456778.1529
福建省,350000,2001,552946.7294
甘肃省,620000,2001,279717.4471
广东省,440000,2001,1575669.161
贵州省,520000,2001,168736.3451
海南省,460000,2001,138373.6627
河北省,130000,2001,1524264.647
河南省,410000,2001,1084366.549
黑龙江省,230000,2001,1091651.435
湖北省,420000,2001,431513.5608
湖南省,430000,2001,324445.6157
吉林省,220000,2001,576691.4118
江苏省,320000,2001,1149809.314
江西省,360000,2001,221487.4863
辽宁省,210000,2001,1078744.078
青海省,630000,2001,76573.27059
山东省,370000,2001,1902591.431
山西省,140000,2001,892880.0784
陕西省,610000,2001,477953.8627
四川省,510000,2001,443533.702
台湾省,710000,2001,851011.2745
云南省,530000,2001,443085.8706
浙江省,330000,2001,834402.3647
北京市,110000,2001,406469.3216
上海市,310000,2001,279829.4235
天津市,120000,2001,328441.0706
重庆市,500000,2001,146416.2941
广西壮族自治区,450000,2001,398773.1216
内蒙古自治区,150000,2001,518340.7647
宁夏回族自治区,640000,2001,122163.8863
西藏自治区,540000,2001,22572.30196
新疆维吾尔自治区,650000,2001,577317.0235
澳门特别行政区,820000,2001,3688.921569
香港特别行政区,810000,2001,76532.16863
安徽省,340000,2002,570780.3608
福建省,350000,2002,572961.6667
甘肃省,620000,2002,283616.3176
广东省,440000,2002,1597054.655
贵州省,520000,2002,178870.9333
海南省,460000,2002,160060.5961
河北省,130000,2002,1461180.275
河南省,410000,2002,1195488.906
黑龙江省,230000,2002,1147943.573
湖北省,420000,2002,504887.1098
湖南省,430000,2002,376967.5176
吉林省,220000,2002,497423.9412
江苏省,320000,2002,1449837.914
江西省,360000,2002,303781.1961
辽宁省,210000,2002,842808.0275
青海省,630000,2002,75563.0902
山东省,370000,2002,1927362.651
山西省,140000,2002,895657.8471
陕西省,610000,2002,532544.1373
四川省,510000,2002,500423.2784
台湾省,710000,2002,894216.851
云南省,530000,2002,496328.7176
浙江省,330000,2002,1013291.8
北京市,110000,2002,412311.2667
上海市,310000,2002,324075.9647
