region,regionCode,year,hviirs
江苏省,320000,2018,3045724.388
江西省,360000,2018,1494120.537
辽宁省,210000,2018,2412100.298
青海省,630000,2018,1103004.839
山东省,370000,2018,3417183.78
山西省,140000,2018,2053012.992
陕西省,610000,2018,2275895.514
四川省,510000,2018,3075729.671
台湾省,710000,2018,1115002.247
云南省,530000,2018,2935254.78
浙江省,330000,2018,2487729.965
北京市,110000,2018,566942.0902
上海市,310000,2018,474932.1412
天津市,120000,2018,538330.1294
重庆市,500000,2018,957775.4902
广西壮族自治区,450000,2018,2120770.855
内蒙古自治区,150000,2018,3469095.341
宁夏回族自治区,640000,2018,623309.0667
西藏自治区,540000,2018,2342495.875
新疆维吾尔自治区,650000,2018,5862068.298
澳门特别行政区,820000,2018,4185.619608
香港特别行政区,810000,2018,78632.59608
安徽省,340000,2019,2383420.945
福建省,350000,2019,1993888.518
甘肃省,620000,2019,3198108.541
广东省,440000,2019,3734012.89
贵州省,520000,2019,2019324.525
海南省,460000,2019,570480.2392
河北省,130000,2019,3484404.439
河南省,410000,2019,3014665.561
黑龙江省,230000,2019,1480232.169
湖北省,420000,2019,2169463.776
湖南省,430000,2019,2105923.933
吉林省,220000,2019,2149727.651
江苏省,320000,2019,3412937.443
江西省,360000,2019,1673040.898
辽宁省,210000,2019,2624853.839
青海省,630000,2019,3130515.086
山东省,370000,2019,3888398.518
山西省,140000,2019,2345709.161
陕西省,610000,2019,2462459.282
四川省,510000,2019,3445946.839
台湾省,710000,2019,1153084.31
云南省,530000,2019,2830787.643
浙江省,330000,2019,2788578.141
北京市,110000,2019,644848.102
上海市,310000,2019,498632.0118
天津市,120000,2019,595672.7451
重庆市,500000,2019,1076968.584
广西壮族自治区,450000,2019,2146658.012
内蒙古自治区,150000,2019,4836113.188
宁夏回族自治区,640000,2019,738775.2078
西藏自治区,540000,2019,2514228.467
新疆维吾尔自治区,650000,2019,1.29E+07
澳门特别行政区,820000,2019,4186.607843
香港特别行政区,810000,2019,80868.43529
安徽省,340000,2020,2289853.008
福建省,350000,2020,1744505.294
甘肃省,620000,2020,1515226.871
广东省,440000,2020,3556277.776
贵州省,520000,2020,1666403.937
海南省,460000,2020,522975.7647
河北省,130000,2020,3245920.714
河南省,410000,2020,2952699.835
黑龙江省,230000,2020,1463487.835
湖北省,420000,2020,1799605.922
湖南省,430000,2020,1692400.733
吉林省,220000,2020,1784082.514
江苏省,320000,2020,3401555.467
江西省,360000,2020,1377552.231
辽宁省,210000,2020,2279673.871
青海省,630000,2020,641672.5098
山东省,370000,2020,3953099.373
山西省,140000,2020,2071993.157
陕西省,610000,2020,2042553.173
四川省,510000,2020,2874006.067
台湾省,710000,2020,1105960.435
云南省,530000,2020,2252340.471
浙江省,330000,2020,2576558.294
北京市,110000,2020,641471.9216
上海市,310000,2020,446144.6627
天津市,120000,2020,572821.3765
重庆市,500000,2020,930403.6314
广西壮族自治区,450000,2020,1862909.455
内蒙古自治区,150000,2020,3020012.851
宁夏回族自治区,640000,2020,586892.2549
西藏自治区,540000,2020,540230.0588
新疆维吾尔自治区,650000,2020,3817561.251
澳门特别行政区,820000,2020,1826.45098
香港特别行政区,810000,2020,74217.26275
安徽省,340000,2021,2525037.365
福建省,350000,2021,2100985.102
甘肃省,620000,2021,1800033.804
广东省,440000,2021,4179886.412
贵州省,520000,2021,1817285.098
海南省,460000,2021,673079.9294
河北省,130000,2021,3502527.369
河南省,410000,2021,3232755.886
黑龙江省,230000,2021,1461140.941
湖北省,420000,2021,2094805.435
湖南省,430000,2021,1915004.467
吉林省,220000,2021,1861377.4
江苏省,320000,2021,3689559.475
江西省,360000,2021,1658450.396
辽宁省,210000,2021,2447761.369
青海省,630000,2021,773855.3373
山东省,370000,2021,4300403.51
山西省,140000,2021,2238161.957
陕西省,610000,2021,2242683.118
四川省,510000,2021,3219256.78
台湾省,710000,2021,1163360.161
云南省,530000,2021,2563740.247
浙江省,330000,2021,3058569.839
北京市,110000,2021,650450.949
上海市,310000,2021,520840.7137
天津市,120000,2021,618546.2314
重庆市,500000,2021,1049651.122
广西壮族自治区,450000,2021,2248452.976
内蒙古自治区,150000,2021,3196666.588
宁夏回族自治区,640000,2021,662314.3451
西藏自治区,540000,2021,683159.102
新疆维吾尔自治区,650000,2021,4346510.494
澳门特别行政区,820000,2021,4185.482353
香港特别行政区,810000,2021,83002.93725
