year,regionid,regionName,Gdp0101,Gdp0102,Gdp0103,Gdp0106,Gdp0113,Gdp0114,Gdp0115,Gdp0116,Ftec0101,Ftec0102,Ftec0103,Ifa0101,Ifa0102,Ifa0104,Pop01,Pop04,Pop05,Pop30,Tpt0101,Tpt0103,Tpt0104,ccnl1s,e1s,egdp1s,hdmsp1s,hviirs1s,viirs1s,vl1s,panda1s,ccnl1m,e1m,egdp1m,hdmsp1m,hviirs1m,panda1m,viirs1m,vl1m
1992,360000,江西省,572.55,200.81,199.4,172.34,35.0729,34.8267,30.1004,1472,,,,125.36,,,3913,,,,1644,33986,,60364.34625,16309720253,50842.23796,124552.502,,,,8607579.373,0.319117936,102374.0631,0.303415335,6.767369237,,39.15878536,,
1992,520000,贵州省,339.91,121.18,122.08,96.65,35.6506,35.9154,28.434,1034,,,,78.82,,,3361,,,,1408,31889,,39953.42795,13690846665,41584.89312,83174.45098,,,,8414026.318,0.201680071,79204.90448,0.235247342,7.108053073,,36.55036748,,
1992,650000,新疆维吾尔自治区,402.31,114.5,147.64,140.17,28.4606,36.6981,34.8413,2477,,,,170.03,,,1581,,,,1578,26024,,110502.4608,86927645747,240071.8771,223099.2627,,,,-17078495.37,0.050925234,53521.808,0.147099674,12.72941165,,-6.773139669,,
1992,230000,黑龙江省,864.04,167,493.1,299.6,17.4013,51.3806,31.2181,2672,,,,,,,3608,,,,5307,47882,,282801.5833,49806383384,147635.4863,565019.1176,,,,28054053.19,0.418859655,120888.9556,0.326199497,9.807154941,,35.77346713,,
1992,350000,福建省,787.71,194.87,291.6,298.21,24.8343,37.1616,38.004,2557,,,,227.55,,,3116,,,,1015,41882,,103233.9305,26160598007,84303.74891,198735.3804,,,,-96760574.58,0.739632728,232210.8866,0.700675641,8.312105974,,-596.5854733,,
1992,410000,河南省,1279.75,353.92,545.21,380.62,27.6554,42.6029,29.7417,1452,,,,318.83,,,8862,,,,3486,45049,,288939.7614,43939752978,138610.8359,539688.8392,,,,53090131.66,1.444262357,317372.6227,0.834728114,7.531667468,,228.3656987,,
1992,530000,云南省,618.69,186.8,219.03,212.86,30.1928,35.4022,34.405,1622,,,,140.69,,,3832,,,,1651,60045,,70949.01567,30464900951,91986.38766,142965.3882,,,,439541.6157,0.167055152,81084.98544,0.239039406,7.078104577,,0.890619266,,
1992,150000,内蒙古自治区,421.68,126.86,152.56,142.26,30.0844,36.1791,33.7365,1906,,,,149.24,,,2207,,,,5770,43704,,114718.8321,67115544208,189730.7842,230209.8784,,,,-9984171.69,0.071724687,59395.09843,0.165509475,10.67649045,,-5.371870155,,
1992,460000,海南省,181.71,53.59,38.27,93.06,28.9801,20.6954,50.3245,2719,,,,87.05,,,686,,,,214,12937,,22442.14033,5268873658,17966.14081,45317.49412,,,,-145104336.7,0.486728948,180058.5626,0.53837586,7.783207048,,-2987.557594,,
1992,640000,宁夏回族自治区,83.14,18.31,34.05,30.78,22.0231,40.955,37.0219,1718,,,,38.09,,,487,,,,421,8200,,30211.3588,7636043315,24147.83744,60720.37647,,,,6516577.282,0.461998909,154948.121,0.464110933,8.536808404,,85.75712892,,
1992,140000,山西省,570,82.94,270.28,197.9,15.0494,49.042,35.9087,1862,,,,172.79,,,2979,,,,2331,31554,,305442.8992,42621770818,126030.0737,570849.6235,,,,55587532.95,1.540918245,305828.6972,0.802479006,9.013467571,,241.327732,,
1992,130000,河北省,1278.5,257.08,573.15,448.27,20.1079,44.8299,35.0622,2040,,,,335.79,,,6275,,,,3609,48334,,401379.9473,53783761445,165938.3529,751402.7843,,,,44916874.08,1.639036478,338616.9101,0.884334184,7.522974873,,157.8421356,,
1993,310000,上海市,1511.61,37.82,902.38,579.03,2.5278,59.561,37.9112,10729,1450028,656564,793464,653.91,,,1349,,,,247,3677,,113302.5552,24303771442,68958.91509,187099.8275,,,,-9723113.506,12.09918988,3820499.653,10.86324747,18.66685864,,-893.4411673,,
1993,110000,北京市,863.54,53.14,419.56,413.51,6.2047,48.0337,45.7616,8006,348464,114118,254346,121.8,,,1112,,,,874.6,11242,,151025.3006,27983486912,79591.67317,253860.251,,,,28744555.52,7.024622217,1708372.725,4.846118022,15.32337866,,1150.571829,,
1993,120000,天津市,536.1,35.4,308.4,195.14,6.6014,56.4223,36.9763,5800,397768,205737,192031,226.56,,,928,,,,3789,4117,,110538.2952,20665582591,59912.21821,200066.6941,,,,-4729211.49,7.065775564,1818068.255,5.270835087,11.25681406,,-260.1316352,,
1993,500000,重庆市,608.53,141.99,229.53,181.53,23.3333,44.7258,31.9409,1870,,,,,,,,,,,,,,22291.82546,10725298275,33859.26488,49717.07059,,,,6762534.353,0.233386624,132045.6835,0.409626104,6.920297208,,60.92867307,,
1993,330000,浙江省,1909.49,315.97,983.96,625.99,16.4063,51.0907,32.5036,4469,673008,432052,240956,683.83,,,4266,,,,921,32838,,165141.0844,47484836069,151329.4742,344443.902,,,,-98135505.9,1.339614089,482013.5776,1.499282681,6.623840766,,-685.0554242,,
1993,430000,湖南省,1278.28,383.68,470.05,390.98,30.8249,37.7638,31.4113,1997,173281,113765,59516,320.24,,,6311,,,,2273,58421,,60066.02162,22759063152,68028.25796,138840.0314,,,,15421389.41,0.250166885,108433.0789,0.319818599,6.048095435,,55.27153875,,
1993,420000,湖北省,1424.38,346.39,537.6,441.84,26.1263,40.5482,33.3255,2361,222820,122731,100089,383.18,,,5653,,,,1941,48008,,106797.0362,28686640655,85413.49021,228937.0706,,,,25305803.55,0.490820413,156525.1879,0.457904721,6.332403451,,100.0837633,,
1993,140000,山西省,704.7,97.27,335.03,248.11,14.2958,49.2394,36.4648,2271,65316,40699,24617,251.26,,,3012,,,,2331,32210,,327922.8224,49476635632,141333.3677,641740.0745,,,,64524044.07,1.654326426,319051.7148,0.899920607,7.675113461,,280.1247041,,
1993,340000,安徽省,1069.84,286,444.97,306.17,27.5758,42.9036,29.5206,1785,123896,78472,45424,321.04,,,5897,,,,1672,30723,,109114.6827,30035478736,94601.81472,230901.102,,,,25930149.68,0.659337418,222311.9569,0.672950977,6.204234617,,134.8370053,,
1993,460000,海南省,258.08,76.82,66.08,117.5,29.4996,25.3754,45.1212,3755,251797,91992,159805,188.25,,,701,,,,214,12937,,33354.46454,6979203120,20951.92449,71044.19608,,,,-143481443.2,0.723397287,211382.1098,0.627848266,6.756930543,,-2954.143789,,
1993,130000,河北省,1690.84,301.68,847.92,541.24,17.842,50.1479,32.0101,2682,246152,167916,78236,540.2,,,6334,,,,3806,49195,,459261.2798,64225126431,186582.2333,907386.7843,,,,61188529.08,1.87539511,343760.4442,0.994351482,6.448216711,,215.0222673,,
1993,320000,江苏省,2998.16,490.59,1598.05,909.52,16.363,53.301,30.3359,4321,924469,465117,459352,1144.2,,,6967,,,,747,25505,,318432.5261,84027554947,265781.8112,629470.3412,,,,-1553608.518,2.57060151,916122.6358,2.625053634,7.241532673,,-10.79289926,,
1993,510000,四川省,2096.48,449.38,580.38,456.32,30.2393,39.0544,30.7063,1854,223043,115595,107448,459.4,,,11104,,,,,,,72871.44783,39897547300,116934.288,163575.5686,,,,22053508.73,0.128516019,82386.16001,0.239777404,6.494607105,,33.47010536,,
1993,540000,西藏自治区,37.28,18.3,5.49,13.63,48.9043,14.6713,36.4244,1624,18870,10391,8479,18.15,,,232,,,,,21944,,2566.568078,48164135088,125813.4462,5195.180392,,,,-18888973.16,0.001813506,39941.63485,0.104325598,7.853100881,,-11.4856088,,
1993,620000,甘肃省,372.24,87.43,159.96,124.85,23.4875,42.9723,33.5402,1600,39905,21908,17997,122.08,,,2345,,,,1884,34875,,71357.13877,29837452792,82216.70763,153625.9882,,,,13042072.49,0.132012611,70190.48902,0.192900328,6.891540977,,20.7636626,,
1993,630000,青海省,109.62,22.21,48.13,39.34,20.2498,43.8822,35.868,2364,10121,7630,2491,44.73,,,467,,,,1097,16963,,16235.39914,31839692708,81828.72865,33427.95686,,,,3713731.867,0.018883469,45619.15871,0.117209948,8.228487667,,3.717134546,,
1993,350000,福建省,1133.49,254.36,455.79,404.05,22.8289,40.9074,36.2637,3556,1003808,515636,488172,368.45,,,3150,,,,1015,43558,,99688.04259,29728177598,92659.69736,205290.8549,,,,-93502890.44,0.714227759,251857.3896,0.770124623,7.179207806,,-576.4999473,,
1993,530000,云南省,779.21,191.45,325.57,266.25,24.4424,41.5655,33.9921,2030,117165,79653,37512,251.4,,,3885,,,,1644,63086,,78370.36192,35203894133,102291.3002,169089.4863,,,,4958695.329,0.184529308,92090.52753,0.265818152,6.649007918,,10.0475346,,
1993,440000,广东省,3225.3,558.7,1704.88,1205.7,16.1042,49.1422,34.7536,5085,7834492,3738838,4095654,1629.87,,,6607,,,,1564,67554,,477420.5068,1.14E+11,327459.1658,877515.1255,,,,-74940778.91,2.4024106,661164.2503,1.858650746,11.08673783,,-324.5207172,,
1993,650000,新疆维吾尔自治区,505.63,126.85,205.07,163.33,25.6133,41.4074,32.9793,2964,78607,37523,41084,248.44,,,1605,,,,2038,27961,,144128.1379,96995680693,262048.3764,291259.0784,,,,-8716151.169,0.06642168,59472.70471,0.160565374,10.93381654,,-3.456727772,,
1993,210000,辽宁省,2010.82,260.8,1039.3,710.8,12.97,51.6859,35.3491,5015,851980,516834,335146,718.3,,,4042,,,,3758,41638,,337139.1385,46045496623,131578.5515,673998.1059,,,,-36142110.07,1.708662461,325125.4141,0.912613067,7.069888972,,-157.6293916,,
1993,610000,陕西省,671.37,148.24,297.49,232.47,21.8579,43.8646,34.2775,1981,131394,73488,57906,228.21,,,3443,,,,2121,38536,,129695.4232,33652135725,101557.1199,269093.5098,,,,31013593.81,0.514238263,164756.625,0.493019144,6.177555309,,105.8207142,,
1993,220000,吉林省,717.95,156.05,351.03,211.5,21.7164,48.8505,29.433,2826,250542,120472,130070,253.59,,,2555,,,,3473,28374,,199686.3797,29592387962,84937.25487,417008.7059,,,,36338437.97,0.755830618,157987.508,0.444548784,6.15713151,,118.3644074,,
1993,520000,贵州省,416.07,133.41,155.03,129.25,31.94,37.116,30.944,1234,34338,20033,14305,106.3,,,3409,,,,1408,32092,,32397.04352,14953205497,44922.83121,74772.14118,,,,9551127.188,0.163536357,85588.30249,0.254130186,6.545894984,,41.48991165,,
1993,150000,内蒙古自治区,532.71,149.96,203.46,184.39,27.8835,37.8312,34.2853,2423,99151,48483,50668,217.4,,,2232,,,,5800,43789,,162585.0103,75686850138,206519.4978,335108.949,,,,-2794986.047,0.101651653,66074.38829,0.180154917,7.463934691,,-1.503810491,,
