year,city_x,id,province_x,province_id,Gdpct01,Gdpct02,Gdpct03,Gdpct04,GDP_PerCapita,Envirct04,Envirct06,Envirct09,Eect01,Eect02,Eect04,Fict03,Eicct01,bm,ccnl,egdp,hdmsp,hviirs,viirs,viirsl,bmmean,bmmedian,viirslmean
1992,长沙市,430100,湖南省,430000,74.6091,,,,,,,,555.39,148.08,470,,,,12702.27601,4004759573,24690.03529,,,,,,
1992,株洲市,430200,湖南省,430000,36.4473,,,,,,,,355.15,73.49,311,,,,6237.579701,1672025371,12742.52157,,,,,,
1992,湘潭市,430300,湖南省,430000,25.8152,,,,,,,,270.45,63.07,539,,,,5338.01626,1221558102,11017.92549,,,,,,
1992,衡阳市,430400,湖南省,430000,25.0882,,,,,,,,662.38,107.69,433,,,,7389.015549,1626049234,14612.42353,,,,,,
1992,邵阳市,430500,湖南省,430000,13.0108,,,,,,,,687.75,73.58,329,,,,3584.106189,1359317019,7450.121569,,,,,,
1992,岳阳市,430600,湖南省,430000,29.4786,,,,,,,,485.2,77.85,323,,,,8755.252392,1932483346,18293.05098,,,,,,
1992,常德市,430700,湖南省,430000,33.7425,,,,,,,,574.15,89.82,315,,,,4982.718283,1602547920,10825.15294,,,,,,
1992,张家界市,430800,湖南省,430000,4.6773,,,,,,,,150.1,16.05,,,,,1327.885472,581609448.4,2835.007843,,,,,,
1992,益阳市,430900,湖南省,430000,9.95,,,,,,,,434.35,64.68,1123,,,,2524.894323,854935783.1,5320.576471,,,,,,
1992,郴州市,431000,湖南省,430000,11.4034,,,,,,,,429.97,66.67,858,,,,5740.636972,1513263411,12799.18431,,,,,,
1992,永州市,431100,湖南省,430000,10.7116,,,,,,,,,,284,,,,4149.22526,1428956907,8674.996078,,,,,,
1992,怀化市,431200,湖南省,430000,8.9767,,,,,,,,458.47,63.66,232,,,,4620.026839,1641393585,10479.71373,,,,,,
1992,广州市,440100,广东省,440000,393.521,,,,,,,,612.2,355.84,824,72880,1881400,,69637.4581,15978846987,119514.8,,,,,,
1992,韶关市,440200,广东省,440000,31.8847,,,,,,,,287.27,91.83,154,5545,162100,,13328.6326,2158517311,26157.7098,,,,,,
1992,深圳市,440300,广东省,440000,284.963,,,,,,,,80.22,57.39,397,71539,1491800,,55306.24909,10689253513,91848.48235,,,,,,
1992,珠海市,440400,广东省,440000,81.4762,,,,,,,,54.97,27.17,434,32704,527300,,19328.00057,2880541159,33189.21961,,,,,,
1992,汕头市,440500,广东省,440000,44.8158,,,,,,,,381.94,103,1850,30664,409500,,17595.22651,3704075728,32029.57255,,,,,,
1992,佛山市,440600,广东省,440000,62.7764,,,,,,,,291.15,105.74,763,29236,445000,,53238.42087,12964102112,91619.87451,,,,,,
1992,江门市,440700,广东省,440000,29.5777,,,,,,,,360.48,102.17,383,18076,302600,,26638.57882,4980277497,50357.02353,,,,,,
1992,湛江市,440800,广东省,440000,46.9585,,,,,,,,567.81,112.86,455,6642,112400,,18437.92526,2863318803,36433.59608,,,,,,
1992,茂名市,440900,广东省,440000,27.5458,,,,,,,,542.87,73.77,474,4029,346300,,12169.00455,2025452303,23794.47059,,,,,,
1992,肇庆市,441200,广东省,440000,22.163,,,,,,,,568.75,96.79,255,16471,266200,,13344.07947,2877568458,26295.1098,,,,,,
1992,惠州市,441300,广东省,440000,22.4378,,,,,,,,239.33,65.36,214,22091,423800,,31452.63293,6749024114,58691.97647,,,,,,
1992,梅州市,441400,广东省,440000,8.6519,,,,,,,,443.09,68.32,280,4353,192600,,10092.89035,1787770802,21292.38431,,,,,,
1992,汕尾市,441500,广东省,440000,7.5421,,,,,,,,234.97,51.67,446,4845,145900,,9391.232016,1179005083,18275.99608,,,,,,
1992,河源市,441600,广东省,440000,9.0528,,,,,,,,283.29,44.77,179,1601,71900,,5246.425532,1592154928,10333.90196,,,,,,
1992,阳江市,441700,广东省,440000,13.0489,,,,,,,,231.99,47.92,297,3550,1084300,,6526.894161,1504415888,13035.33333,,,,,,
1992,清远市,441800,广东省,440000,12.9703,,,,,,,,347.76,57.89,183,5700,433600,,10210.98665,2866346217,20281.8549,,,,,,
1992,东莞市,441900,广东省,440000,84.5408,,,,,,,,136.06,32.71,552,33219,118600,,49255.64733,12375266093,85064.01569,,,,,,
1992,中山市,442000,广东省,440000,71.3792,,,,,,,,119.25,30.99,709,20088,188800,,25595.25469,6470373564,44522.29804,,,,,,
1992,潮州市,445100,广东省,440000,13.7901,,,,,,,,223.28,50.49,725,3880,152900,,8106.700337,1850126177,14933.99608,,,,,,
1992,揭阳市,445200,广东省,440000,11.2191,,,,,,,,456.49,64.13,871,13757,108400,,11256.34355,2614452828,21863.27451,,,,,,
1992,云浮市,445300,广东省,440000,20.9685,,,,,,,,,,,,,,5883.682976,1110328762,11623.32157,,,,,,
1992,海口市,460100,海南省,460000,37.9023,,,,9178,,,,40.58,31.61,1861,,549343,,9071.966642,1451608525,16767.74118,,,,,,
1992,三亚市,460200,海南省,460000,7.991,,,,2129,,,,38.02,11.92,201,,78277,,3477.922541,773329312.7,6416.333333,,,,,,
1992,沈阳市,210100,辽宁省,210000,272.9,,,,,,,,577.4,386.2,678,,,,70069.4164,8522595682,124434.9412,,,,,,
1992,大连市,210200,辽宁省,210000,244.6,,,,,,,,522.9,232.6,416,,,,41036.05745,5210074293,74051.56471,,,,,,
1992,鞍山市,210300,辽宁省,210000,157.4,,,,,,,,329.4,158,356,,,,31716.65038,3558337178,56222.56078,,,,,,
1992,抚顺市,210400,辽宁省,210000,82.2,,,,,,,,223.2,141.9,206,,,,20586.05908,2775545588,35676.78431,,,,,,
1992,本溪市,210500,辽宁省,210000,54.2,,,,,,,,153.7,95.2,183,,,,12856.23312,1851990908,23291.48627,,,,,,
1992,丹东市,210600,辽宁省,210000,58,,,,,,,,234.1,88.8,157,,,,10424.74627,1756268624,20328.78824,,,,,,
1992,锦州市,210700,辽宁省,210000,78.2,,,,,,,,295.3,93.1,300,,,,28291.71545,2350189601,54648.83529,,,,,,
1992,营口市,210800,辽宁省,210000,51.7,,,,,,,,215.6,74.6,399,,,,21294.21479,2564646419,38878.4,,,,,,
1992,阜新市,210900,辽宁省,210000,30.6,,,,,,,,185.6,80.4,208,,,,9787.301619,1396814462,18173.22745,,,,,,
1992,辽阳市,211000,辽宁省,210000,58,,,,,,,,173.5,66.2,367,,,,24426.42175,2709641236,43550.95294,,,,,,
1992,盘锦市,211100,辽宁省,210000,68.7,,,,,,,,108.4,50.7,274,,,,24832.32041,2789845145,44404.5098,,,,,,
1992,铁岭市,211200,辽宁省,210000,70.9,,,,,,,,362.1,90.5,207,,,,33816.78453,2352163003,63747.76471,,,,,,
1992,朝阳市,211300,辽宁省,210000,46.8,,,,,,,,321,73.1,163,,,,9256.297783,2196931618,18631.55686,,,,,,
1992,葫芦岛市,211400,辽宁省,210000,56.6,,,,,,,,255.7,62.1,,,,,20110.71755,2112824329,38586.4549,,,,,,
1992,银川市,640100,宁夏回族自治区,640000,28.6411,17.6,43.5,38.9,,,,,,,241,,,,13202.74885,2966455960,26438.45882,,,,,,
1992,石嘴山市,640200,宁夏回族自治区,640000,16.4227,16.5,60.4,23.1,,,,,,,140,,,,7037.923434,1218044141,14137.62353,,,,,,
1992,吴忠市,640300,宁夏回族自治区,640000,25.8442,31.3,40.6,28.1,,,,,,,243,,,,6092.205913,1736638913,12308.73725,,,,,,
1992,固原市,640400,宁夏回族自治区,640000,6.3876,39.2,19.9,40.9,,,,,,,,,,,1398.496618,713459520.7,2723,,,,,,
1992,杭州市,330100,浙江省,330000,267.85,,,,4614,,,,582.4,174.04,351,9678,657803,,32728.56741,8686022594,61487.14902,,,,,,
1992,宁波市,330200,浙江省,330000,213.05,,,,4133,,,,516.71,106.81,552,11497,762426,,29235.67732,6996455810,55483.21176,,,,,,
1992,嘉兴市,330400,浙江省,330000,113.32,,,,3547,,,,320.61,61.17,819,1620,410331,,23602.57262,4984043499,44342.38431,,,,,,
1992,绍兴市,330600,浙江省,330000,127.25,,,,3057,,,,417.16,55.47,528,1680,446114,,17090.92457,3766785654,32860.14902,,,,,,
1992,舟山市,330900,浙江省,330000,34.14,,,,3502,,,,97.63,21.31,712,162,128180,,3005.013077,545195035.2,5847.427451,,,,,,
1992,温州市,330300,浙江省,330000,126.86,,,,1877,,,,678.99,102.08,576,2495,283233,,13140.55315,3791601465,26192.34118,,,,,,
1992,金华市,330700,浙江省,330000,99.12,,,,2312,,,,429.71,52.24,394,812,222206,,12142.31711,3225425044,24231.75686,,,,,,
1992,衢州市,330800,浙江省,330000,45.55,,,,1961,,,,232.92,30.92,264,201,154136,,7225.706776,1286778575,14785.42353,,,,,,
1992,丽水市,331100,浙江省,330000,36.95,,,,1533,,,,241.25,27.16,215,108,60500,,3279.298225,1414596189,7358.356863,,,,,,
1992,西宁市,630100,青海省,630000,26.2168,,,,,,,,,,304,,,,5567.872067,1726982089,10653.59216,,,,,,
1992,海东市,630200,青海省,630000,15.1585,,,,,,,,,,,,,,1918.984929,995200941.1,4134.470588,,,,,,
1992,海北藏族自治州,632200,青海省,630000,4.2596,,,,,,,,,,,,,,319.6519232,1385018638,723,,,,,,
1992,玉树藏族自治州,632700,青海省,630000,2.1522,,,,,,,,,,,,,,44.41681605,7885943701,130,,,,,,
1992,重庆市,500000,重庆市,500000,462.47,25.4,42.2,32.4,1645,,,,2950.78,511.84,648,10247,1063852,,30852.13539,9907342671,62250.71765,,,,,,
1992,南京市,320100,江苏省,320000,246.88,,,,4675,,,,510.05,243,783,,719600,,48824.43311,9172774619,85456.35686,,,,,,
1992,无锡市,320200,江苏省,320000,288.14,,,,6819,,,,423.9,151.45,912,,1183200,,40492.47402,9784424765,71477.73333,,,,,,
1992,徐州市,320300,江苏省,320000,148.22,,,,1797,,,,826.74,149.84,734,,354100,,31155.42751,4879572502,58193.52941,,,,,,
1992,常州市,320400,江苏省,320000,144.4,,,,4404,,,,328.57,85.72,751,,367500,,24825.99585,5467014922,45466.33725,,,,,,
1992,苏州市,320500,江苏省,320000,359.69,,,,6360,,,,566.89,149.17,668,,1279800,,59133.67695,16996136953,106967.8902,,,,,,
1992,南通市,320600,江苏省,320000,180.49,,,,2316,,,,779.86,161.65,975,,349000,,39589.21405,6464950933,73191.0902,,,,,,
1992,连云港市,320700,江苏省,320000,60.15,,,,1726,,,,349.72,63.04,555,,150500,,20140.41113,2584715396,38560.33333,,,,,,
1992,盐城市,320900,江苏省,320000,127.85,,,,1644,,,,779.2,125.79,520,,242100,,21356.35714,3912034895,43098.54902,,,,,,
1992,扬州市,321000,江苏省,320000,225.96,,,,2426,,,,931.13,154.16,749,,418400,,26466.76984,4610924381,48234.03922,,,,,,
1992,镇江市,321100,江苏省,320000,101.91,,,,2928,,,,259.91,75.02,676,,245600,,21289.0344,3934739160,38467.19216,,,,,,
1992,石家庄市,130100,河北省,130000,113.79,,,,3947,,,,290.01,121.55,891,,,,54091.93065,6931464791,98823.60392,,,,,,
1992,唐山市,130200,河北省,130000,189.19,,,,2844,,,,667.89,152.16,496,,,,55658.51788,8255119741,107683.1294,,,,,,
1992,秦皇岛市,130300,河北省,130000,68.92,,,,2746,,,,252.21,52.39,335,,,,20375.87391,2836481776,37503.90196,,,,,,
1992,邯郸市,130400,河北省,130000,69.96,,,,3269,,,,215.09,91.55,771,,,,57147.73115,7161117220,101022.8196,,,,,,
1992,邢台市,130500,河北省,130000,23.97,,,,2793,,,,86.92,33.81,412,,,,33577.63182,3738118952,63128.16471,,,,,,
1992,保定市,130600,河北省,130000,46.78,,,,2852,,,,171.15,55.26,943,,,,44037.79958,5728717634,83210.05098,,,,,,
1992,张家口市,130700,河北省,130000,39.87,,,,3894,,,,103.56,59.31,349,,,,17243.68175,4315515886,35167.2902,,,,,,
1992,承德市,130800,河北省,130000,20,,,,2360,,,,84.83,28.56,190,,,,7698.149783,2932046730,15782.08235,,,,,,
1992,廊坊市,131000,河北省,130000,81.86,,,,2373,,,,347.58,40.4,541,,,,34654.88821,5028743750,64479.79216,,,,,,
1992,沧州市,130900,河北省,130000,24.23,,,,1806,,,,135.07,31.15,501,,,,53141.38492,4837799371,98475.82353,,,,,,
1992,衡水市,131100,河北省,130000,58.3,,,,1495,,,,34.62,,587,,,,23745.11422,2017960132,46112.88235,,,,,,
1992,乌海市,150300,内蒙古自治区,150000,9.2703,,,,,,,,29.2934,26.88,125,,,,9707.111614,1477998475,18606.37647,,,,,,
1992,赤峰市,150400,内蒙古自治区,150000,55.0887,,,,,,,,416.0156,65.79,46,,,,11917.90812,5322129516,24204.93333,,,,,,
1992,呼伦贝尔市,150700,内蒙古自治区,150000,55.2564,,,,,,,,262.9152,,,,,,23652.73704,13254548079,48085.13333,,,,,,
1992,兴安盟,152200,内蒙古自治区,150000,15.4034,,,,,,,,156.1693,,,,,,3483.026338,2952741323,7577.156863,,,,,,
1992,锡林郭勒盟,152500,内蒙古自治区,150000,19.3484,,,,,,,,89.388,,,,,,3659.33952,8926005401,8336,,,,,,
1992,乌兰察布市,150900,内蒙古自治区,150000,29.1525,,,,,,,,329.1439,,,,,,4465.496947,3295440044,9323.52549,,,,,,
1992,鄂尔多斯市,150600,内蒙古自治区,150000,20.6843,,,,,,,,122.8183,,148,,,,10320.55184,6805211849,20547.61961,,,,,,
1992,巴彦淖尔市,150800,内蒙古自治区,150000,27.8911,,,,,,,,157.5119,,,,,,3649.47671,3555097402,8050.309804,,,,,,
1992,阿拉善盟,152900,内蒙古自治区,150000,4.9072,,,,,,,,16.3118,,,,,,2376.152813,9735279906,5390.415686,,,,,,
1992,呼和浩特市,150100,内蒙古自治区,150000,39.8298,,,,,,,,140.6084,72.1,231,,,,14119.05762,3565855585,26639.85882,,,,,,
1992,包头市,150200,内蒙古自治区,150000,58.8821,,,,,,,,176.8039,107.69,177,,,,18405.89571,4374317731,35494.39216,,,,,,
1992,太原市,140100,山西省,140000,117.0257,,,,,,,,267.024,167.65,382,,,,36328.63546,5320168883,65570.81176,,,,,,
1992,大同市,140200,山西省,140000,51.5443,,,,,,,,113.3136,81.39,545,,,,27417.07805,4308397177,51431.42353,,,,,,
1992,阳泉市,140300,山西省,140000,32.8524,,,,,,,,116.8772,43.83,263,,,,13370.69803,1631637086,25083.96471,,,,,,
1992,长治市,140400,山西省,140000,48.0766,,,,,,,,,,211,,,,23629.35643,3834394999,44697.59608,,,,,,
1992,晋城市,140500,山西省,140000,39.0067,,,,,,,,196.923,26.59,208,,,,34989.81451,3432918153,62534.76863,,,,,,
1992,朔州市,140600,山西省,140000,15.5743,,,,,,,,65.7791,10.4,115,,,,12821.12665,2365570459,25802.3098,,,,,,
1992,忻州市,140900,山西省,140000,28.1495,,,,,,,,275.8496,39.09,227,,,,16260.89216,2855470129,32911.07843,,,,,,
1992,吕梁市,141100,山西省,140000,30.4837,,,,,,,,307.3672,38.64,,,,,32902.59239,5244459454,61798.27059,,,,,,
1992,临汾市,141000,山西省,140000,47.9225,,,,,,,,358.2323,61.12,464,,,,52042.41248,6345262565,95002.5451,,,,,,
1992,运城市,140800,山西省,140000,49.4123,,,,,,,,436.7012,51.48,410,,,,27091.95414,3148979613,52192.49804,,,,,,
1992,海南藏族自治州,632500,青海省,630000,6.8565,,,,,,,,,,,,,,584.6000728,1816768730,1229,,,,,,
1992,黄南藏族自治州,632300,青海省,630000,2.6986,,,,,,,,,,,,,,379.2244436,760036023.2,781.7764706,,,,,,
1992,海西蒙古族藏族自治州,632800,青海省,630000,11.969,,,,,,,,,,,,,,5013.952282,12336162059,10420.23529,,,,,,
1992,果洛藏族自治州,632600,青海省,630000,2.0158,,,,,,,,,,,,,,18.40553555,2861046673,60,,,,,,
1992,贵阳市,520100,贵州省,520000,62.1719,,,,3913,,,,158.6,106.45,659,,,,12429.56405,2599022537,25029.22353,,,,,,
1992,遵义市,520300,贵州省,520000,73.3218,,,,1173,,,,627.57,68.63,1278,,,,5526.427944,2026506782,12138.97255,,,,,,
1992,铜仁市,520600,贵州省,520000,20.621,,,,622,,,,332.31,26.46,,,,,890.9917961,1038372972,2006.823529,,,,,,
1992,黔西南布依族苗族自治州,522300,贵州省,520000,14.8088,,,,575,,,,259.19,18.74,,,,,2098.922678,1268723130,4266.223529,,,,,,
1992,毕节市,520500,贵州省,520000,35.5405,,,,553,,,,608.31,36.23,,,,,1948.123777,1464535252,4199.921569,,,,,,
1992,安顺市,520400,贵州省,520000,36.3905,,,,1033,,,,354,47.61,400,,,,3028.747654,859101438.7,6450.654902,,,,,,
1992,黔东南苗族侗族自治州,522600,贵州省,520000,26.9352,,,,720,,,,375.72,32.82,,,,,1178.86468,1627318439,2825.478431,,,,,,
1992,黔南布依族苗族自治州,522700,贵州省,520000,35.7613,,,,1074,,,,334.97,37.26,,,,,3198.745469,1537947345,7221.517647,,,,,,
1992,六盘水市,520200,贵州省,520000,24.5248,,,,984,,,,250.3,38.82,252,,,,9652.169715,1268915000,19034.23137,,,,,,
1992,兰州市,620100,甘肃省,620000,84.7611,,,,3302,,,,258.3824,132.1959,187,,13996,,20199.20913,3757213476,37905.73725,,,,,,
1992,嘉峪关市,620200,甘肃省,620000,5.4324,,,,5063,,,,300.4092,36.5899,84,,1273,,2081.099081,546341702.3,4225,,,,,,
1992,天水市,620500,甘肃省,620000,26.6954,,,,895,,,,10.9326,8.6163,210,,2280,,4800.554849,1334930129,9898.862745,,,,,,
1992,酒泉市,620900,甘肃省,620000,21.9077,,,,2608,,,,223.8153,20.5591,89,,,,5106.805748,7388440757,10998.7451,,,,,,
1992,张掖市,620700,甘肃省,620000,15.9399,,,,1374,,,,196.8357,20.5167,103,,,,2438.720531,1937661820,5442.203922,,,,,,
1992,武威市,620600,甘肃省,620000,13.4426,,,,786,,,,245.096,17.5289,176,,,,3656.896396,1684585374,7651.639216,,,,,,
1992,定西市,621100,甘肃省,620000,13.5576,,,,517,,,,263.8635,18.5528,,,,,2328.646227,1294980289,4981.976471,,,,,,
1992,陇南市,621200,甘肃省,620000,15.0042,,,,615,,,,172.1805,19.9489,,,,,1426.517229,1407298857,3200.988235,,,,,,
1992,平凉市,620800,甘肃省,620000,13.8607,,,,708,,,,116.666,14.9879,205,,,,2855.18211,908192151.2,5943.776471,,,,,,
1992,庆阳市,621000,甘肃省,620000,21.294,,,,958,,,,84.9893,25.7617,,,,,3112.249091,1833344792,6271.070588,,,,,,
1992,临夏回族自治州,622900,甘肃省,620000,8.5972,,,,523,,,,166.1616,14.0412,,,,,1971.122998,668804034.8,4474.301961,,,,,,
1992,甘南藏族自治州,623000,甘肃省,620000,5.4012,,,,909,,,,59.7312,9.4264,,,,,507.3894004,1520747265,1132,,,,,,
1992,金昌市,620300,甘肃省,620000,18.1299,,,,4661,,,,149.8233,28.0857,41,,3296,,2827.291279,850753949.4,5828,,,,,,
1992,白银市,620400,甘肃省,620000,21.4347,,,,1444,,,,39.2379,15.465,71,,1230,,8849.806362,1713957972,16876.05098,,,,,,
1992,昆明市,530100,云南省,530000,141.6695,9.4,59.6,31,,,,,362.7,145.3,233,2620,394758,,23458.31984,6079816090,43889.23137,,,,,,
1992,东川区,530113,云南省,530000,3.134,19.3,56.9,23.8,,,,,28.5,6.4,,,8878,,,,,,,,,,
1992,昭通市,530600,云南省,530000,32.645,37.4,37.3,25.3,,,,,440.4,27.7,298,,28078,,1066.461881,1180299417,2197.372549,,,,,,
1992,曲靖市,530300,云南省,530000,69.87,30.1,41,28.9,,,,,538.2,49.2,202,,146580,,11937.17267,2817650629,23673.92549,,,,,,
1992,楚雄彝族自治州,532300,云南省,530000,32.8548,36.6,40.3,23.1,,,,,236.9,25.8,,,55360,,3511.836112,1787706134,7255.886275,,,,,,
1992,玉溪市,530400,云南省,530000,54.9965,20.4,61.4,18.2,,,,,185.2,22.2,331,,120238,,5297.371924,1764876965,11264.85098,,,,,,
1992,红河哈尼族彝族自治州,532500,云南省,530000,44.3114,31.3,36.1,32.6,,,,,371.3,57.6,,,105721,,10478.79648,2939872234,21347.56078,,,,,,
1992,文山壮族苗族自治州,532600,云南省,530000,17.5956,60.8,13.8,25.4,,,,,301,18.9,,,21979,,1300.789786,1629539171,3016.666667,,,,,,
1992,普洱市,530800,云南省,530000,20.101,43.4,20.3,36.3,,,,,223.3,20.9,,,46901,,1955.683278,2344911594,4109.803922,,,,,,
1992,西双版纳傣族自治州,532800,云南省,530000,14.3575,54.2,15.2,30.6,,,,,78.9,13.7,,,28318,,1878.053333,1162872886,4044.839216,,,,,,
1992,大理白族自治州,532900,云南省,530000,35.2206,40.6,29.5,29.9,,,,,308.6,29.2,,,71024,,2909.750883,2137741532,6568.870588,,,,,,
1992,保山市,530500,云南省,530000,19.7158,56.5,19.1,24.4,,,,,216.6,15.6,151,,48404,,1978.338739,1285050229,4442.827451,,,,,,
1992,德宏傣族景颇族自治州,533100,云南省,530000,13.0884,41.6,19,39.4,,,,,93.1,11.7,,,42128,,2014.128274,1083050795,4224.909804,,,,,,
1992,丽江市,530700,云南省,530000,9.3508,44.8,23.4,31.8,,,,,103.3,10.3,,,21486,,1358.085945,1126634875,3066.733333,,,,,,
1992,怒江傈僳族自治州,533300,云南省,530000,3.8976,38.7,28.3,33,,,,,44.3,4.7,,,14944,,283.9801277,662960100.9,707.6627451,,,,,,
1992,迪庆藏族自治州,533400,云南省,530000,3.4281,47.1,27.5,25.4,,,,,32.1,3.7,,,10863,,124.4255127,1011461968,268,,,,,,
1992,临沧市,530900,云南省,530000,16.3004,54.4,19.7,25.9,,,,,202.7,13.8,,,44395,,1393.543795,1449598907,2882.768627,,,,,,
1992,咸阳市,610400,陕西省,610000,62.2281,,,,1406,,,,445.3401,71.4875,436,,178589,,21590.26081,3526849622,41315.78824,,,,,,
1992,渭南市,610500,陕西省,610000,57.8981,,,,1180,,,,493.2458,69.6391,649,,196352,,29993.82397,2829911032,56596.35294,,,,,,
1992,汉中市,610700,陕西省,610000,52.7132,,,,1461,,,,361.1362,56.1971,827,,83891,,6620.535761,2082067089,13841,,,,,,
1992,安康市,610900,陕西省,610000,28.394,,,,991,,,,286.8859,30.5489,244,,64799,,1657.796808,1371477341,3773.890196,,,,,,
1992,商洛市,611000,陕西省,610000,18.1958,,,,783,,,,232.5125,17.496,,,27941,,1319.446778,1162806281,2925.231373,,,,,,
1992,延安市,610600,陕西省,610000,24.5072,,,,1342,,,,183.4749,31.4911,88,,78545,,8232.433718,4306696409,16265.43529,,,,,,
1992,榆林市,610800,陕西省,610000,21.68,,,,731,,,,298.4462,30.3538,53,,40178,,9929.494763,4759846395,20428.51373,,,,,,
1992,西安市,610100,陕西省,610000,144.5989,,,,2336,,,,623.1978,236.4545,624,,412543,,37403.8632,7060514886,66381.03137,,,,,,
1992,铜川市,610200,陕西省,610000,11.2925,,,,1445,,,,78.5402,34.4656,202,,51503,,4828.06692,585004553,9463.376471,,,,,,
1992,宝鸡市,610300,陕西省,610000,59.2132,,,,1764,,,,337.5091,66.0786,186,,134982,,15446.29583,2450462554,30768.28627,,,,,,
1992,福州市,350100,福建省,350000,150,26.4,41.9,31.6,3029,,,,544.72,128.98,455,33309,,,20897.15322,4563239692,39326.96471,,,,,,
1992,厦门市,350200,福建省,350000,78.91,8.3,42.4,49.4,6501,,,,115.35,45.67,761,56355,,,13652.55863,2744687398,23746.12941,,,,,,
