city,cityCode,year,viirsl,province,provinceCode
娄底市,431300,2000,460.8571384,湖南省,430000
邵阳市,430500,2000,422.2481493,湖南省,430000
湘潭市,430300,2000,521.0617059,湖南省,430000
益阳市,430900,2000,204.8024373,湖南省,430000
永州市,431100,2000,442.6527958,湖南省,430000
岳阳市,430600,2000,781.327132,湖南省,430000
张家界市,430800,2000,280.3859332,湖南省,430000
长沙市,430100,2000,5054.081181,湖南省,430000
株洲市,430200,2000,905.3727385,湖南省,430000
白城市,220800,2000,3985.398666,吉林省,220000
白山市,220600,2000,3466.483052,吉林省,220000
吉林市,220200,2000,24641.17547,吉林省,220000
辽源市,220400,2000,1860.179627,吉林省,220000
四平市,220300,2000,5582.425386,吉林省,220000
松原市,220700,2000,7471.38607,吉林省,220000
通化市,220500,2000,3995.099045,吉林省,220000
长春市,220100,2000,53433.5308,吉林省,220000
常州市,320400,2000,8863.913332,江苏省,320000
淮安市,320800,2000,4786.266217,江苏省,320000
连云港市,320700,2000,5111.964005,江苏省,320000
南京市,320100,2000,21554.14237,江苏省,320000
南通市,320600,2000,6360.874901,江苏省,320000
苏州市,320500,2000,22712.78757,江苏省,320000
宿迁市,321300,2000,2139.962567,江苏省,320000
泰州市,321200,2000,5434.417084,江苏省,320000
无锡市,320200,2000,13677.59208,江苏省,320000
徐州市,320300,2000,9850.126383,江苏省,320000
盐城市,320900,2000,6447.535714,江苏省,320000
扬州市,321000,2000,6798.016045,江苏省,320000
镇江市,321100,2000,2684.162996,江苏省,320000
抚州市,361000,2000,350.7976496,江西省,360000
赣州市,360700,2000,1155.901275,江西省,360000
吉安市,360800,2000,335.9732289,江西省,360000
景德镇市,360200,2000,286.8933356,江西省,360000
九江市,360400,2000,722.1274615,江西省,360000
南昌市,360100,2000,2257.52323,江西省,360000
萍乡市,360300,2000,190.3666202,江西省,360000
上饶市,361100,2000,525.4831396,江西省,360000
新余市,360500,2000,303.5945529,江西省,360000
宜春市,360900,2000,374.9478858,江西省,360000
鹰潭市,360600,2000,225.6937141,江西省,360000
鞍山市,210300,2000,17484.65791,辽宁省,210000
本溪市,210500,2000,6384.711511,辽宁省,210000
朝阳市,211300,2000,1996.677716,辽宁省,210000
大连市,210200,2000,31180.07034,辽宁省,210000
丹东市,210600,2000,3163.51391,辽宁省,210000
抚顺市,210400,2000,7990.951471,辽宁省,210000
阜新市,210900,2000,3189.128888,辽宁省,210000
