city,cityCode,year,ccnl,province,provinceCode
娄底市,431300,1992,5387.541474,湖南省,430000
邵阳市,430500,1992,3584.106189,湖南省,430000
湘潭市,430300,1992,5338.01626,湖南省,430000
益阳市,430900,1992,2524.894323,湖南省,430000
永州市,431100,1992,4149.22526,湖南省,430000
岳阳市,430600,1992,8755.252392,湖南省,430000
张家界市,430800,1992,1327.885472,湖南省,430000
长沙市,430100,1992,12702.27601,湖南省,430000
株洲市,430200,1992,6237.579701,湖南省,430000
白城市,220800,1992,6048.649535,吉林省,220000
白山市,220600,1992,10221.3519,吉林省,220000
吉林市,220200,1992,33730.05882,吉林省,220000
辽源市,220400,1992,10247.41383,吉林省,220000
四平市,220300,1992,19821.68031,吉林省,220000
松原市,220700,1992,15210.38095,吉林省,220000
通化市,220500,1992,10706.38124,吉林省,220000
长春市,220100,1992,61259.75951,吉林省,220000
常州市,320400,1992,24825.99585,江苏省,320000
淮安市,320800,1992,18535.14645,江苏省,320000
连云港市,320700,1992,20140.41113,江苏省,320000
南京市,320100,1992,48824.43311,江苏省,320000
南通市,320600,1992,39589.21405,江苏省,320000
苏州市,320500,1992,59133.67695,江苏省,320000
宿迁市,321300,1992,10221.09764,江苏省,320000
泰州市,321200,1992,20961.32082,江苏省,320000
无锡市,320200,1992,40492.47402,江苏省,320000
徐州市,320300,1992,31155.42751,江苏省,320000
盐城市,320900,1992,21356.35714,江苏省,320000
扬州市,321000,1992,26466.76984,江苏省,320000
镇江市,321100,1992,21289.0344,江苏省,320000
抚州市,361000,1992,2739.405471,江西省,360000
赣州市,360700,1992,6293.60015,江西省,360000
吉安市,360800,1992,3641.828733,江西省,360000
景德镇市,360200,1992,3672.297474,江西省,360000
九江市,360400,1992,7914.387418,江西省,360000
南昌市,360100,1992,14199.06329,江西省,360000
萍乡市,360300,1992,2783.141766,江西省,360000
上饶市,361100,1992,6475.030156,江西省,360000
新余市,360500,1992,3511.220798,江西省,360000
宜春市,360900,1992,7229.130607,江西省,360000
鹰潭市,360600,1992,1904.723657,江西省,360000
鞍山市,210300,1992,31716.65038,辽宁省,210000
本溪市,210500,1992,12856.23312,辽宁省,210000
朝阳市,211300,1992,9256.297783,辽宁省,210000
大连市,210200,1992,41036.05745,辽宁省,210000
丹东市,210600,1992,10424.74627,辽宁省,210000
抚顺市,210400,1992,20586.05908,辽宁省,210000
阜新市,210900,1992,9787.301619,辽宁省,210000
葫芦岛市,211400,1992,20110.71755,辽宁省,210000
锦州市,210700,1992,28291.71545,辽宁省,210000
辽阳市,211000,1992,24426.42175,辽宁省,210000
盘锦市,211100,1992,24832.32041,辽宁省,210000
沈阳市,210100,1992,70069.4164,辽宁省,210000
铁岭市,211200,1992,33816.78453,辽宁省,210000
营口市,210800,1992,21294.21479,辽宁省,210000
海东市,630200,1992,1918.984929,青海省,630000
西宁市,630100,1992,5567.872067,青海省,630000
滨州市,371600,1992,29625.01385,山东省,370000
德州市,371400,1992,37590.0927,山东省,370000
东营市,370500,1992,32627.20856,山东省,370000
菏泽市,371700,1992,14142.13587,山东省,370000
济南市,370100,1992,56516.72581,山东省,370000
济宁市,370800,1992,38219.12237,山东省,370000
聊城市,371500,1992,25652.39688,山东省,370000
临沂市,371300,1992,35068.64393,山东省,370000
青岛市,370200,1992,41196.74609,山东省,370000
日照市,371100,1992,9610.376767,山东省,370000
泰安市,370900,1992,29103.72023,山东省,370000
威海市,371000,1992,12631.66655,山东省,370000
潍坊市,370700,1992,56084.078,山东省,370000
烟台市,370600,1992,38488.65657,山东省,370000
枣庄市,370400,1992,24090.20087,山东省,370000
淄博市,370300,1992,43147.0393,山东省,370000
大同市,140200,1992,27417.07805,山西省,140000
晋城市,140500,1992,34989.81451,山西省,140000
晋中市,140700,1992,28580.39946,山西省,140000
临汾市,141000,1992,52042.41248,山西省,140000
吕梁市,141100,1992,32902.59239,山西省,140000
朔州市,140600,1992,12821.12665,山西省,140000
太原市,140100,1992,36328.63546,山西省,140000
忻州市,140900,1992,16260.89216,山西省,140000
阳泉市,140300,1992,13370.69803,山西省,140000
运城市,140800,1992,27091.95414,山西省,140000
长治市,140400,1992,23629.35643,山西省,140000
安康市,610900,1992,1657.796808,陕西省,610000
宝鸡市,610300,1992,15446.29583,陕西省,610000
汉中市,610700,1992,6620.535761,陕西省,610000
商洛市,611000,1992,1319.446778,陕西省,610000
铜川市,610200,1992,4828.06692,陕西省,610000
渭南市,610500,1992,29993.82397,陕西省,610000
西安市,610100,1992,37403.8632,陕西省,610000
咸阳市,610400,1992,21590.26081,陕西省,610000
延安市,610600,1992,8232.433718,陕西省,610000
榆林市,610800,1992,9929.494763,陕西省,610000
巴中市,511900,1992,656.9704575,四川省,510000
成都市,510100,1992,20139.34125,四川省,510000
达州市,511700,1992,6632.037887,四川省,510000
德阳市,510600,1992,4942.395299,四川省,510000
广安市,511600,1992,2134.582454,四川省,510000
广元市,510800,1992,4380.834511,四川省,510000
乐山市,511100,1992,3099.374232,四川省,510000
泸州市,510500,1992,2502.389268,四川省,510000
眉山市,511400,1992,1397.384725,四川省,510000
绵阳市,510700,1992,7954.783624,四川省,510000
南充市,511300,1992,3509.064605,四川省,510000
内江市,511000,1992,4139.888975,四川省,510000
攀枝花市,510400,1992,8102.618545,四川省,510000
遂宁市,510900,1992,1814.823398,四川省,510000
雅安市,511800,1992,559.8454053,四川省,510000
宜宾市,511500,1992,3177.07806,四川省,510000
资阳市,512000,1992,983.5496052,四川省,510000
自贡市,510300,1992,1997.835525,四川省,510000
保山市,530500,1992,1978.338739,云南省,530000
昆明市,530100,1992,23458.31984,云南省,530000
丽江市,530700,1992,1358.085945,云南省,530000
临沧市,530900,1992,1393.543795,云南省,530000
普洱市,530800,1992,1955.683278,云南省,530000
曲靖市,530300,1992,11937.17267,云南省,530000
