city,cityCode,year,hviirs,province,provinceCode
娄底市,431300,2013,71899.75294,湖南省,430000
邵阳市,430500,2013,108425.1098,湖南省,430000
湘潭市,430300,2013,63294.35686,湖南省,430000
益阳市,430900,2013,66067.18039,湖南省,430000
永州市,431100,2013,103079.102,湖南省,430000
岳阳市,430600,2013,120248.9922,湖南省,430000
张家界市,430800,2013,28633.10588,湖南省,430000
长沙市,430100,2013,172772.8118,湖南省,430000
株洲市,430200,2013,86193.82745,湖南省,430000
白城市,220800,2013,72001.4902,吉林省,220000
白山市,220600,2013,91012.04314,吉林省,220000
吉林市,220200,2013,285415.1294,吉林省,220000
辽源市,220400,2013,63685.37647,吉林省,220000
四平市,220300,2013,125139.6353,吉林省,220000
松原市,220700,2013,200866.3569,吉林省,220000
通化市,220500,2013,132789.2235,吉林省,220000
长春市,220100,2013,410423.302,吉林省,220000
常州市,320400,2013,159082.2353,江苏省,320000
淮安市,320800,2013,147167.1961,江苏省,320000
连云港市,320700,2013,140476.0588,江苏省,320000
南京市,320100,2013,230294.1451,江苏省,320000
南通市,320600,2013,242106.6431,江苏省,320000
苏州市,320500,2013,471013.5804,江苏省,320000
宿迁市,321300,2013,130883.9843,江苏省,320000
泰州市,321200,2013,145159.9255,江苏省,320000
无锡市,320200,2013,229928.9922,江苏省,320000
徐州市,320300,2013,214604.7529,江苏省,320000
盐城市,320900,2013,231120.0314,江苏省,320000
扬州市,321000,2013,145721.0745,江苏省,320000
镇江市,321100,2013,125555.9882,江苏省,320000
抚州市,361000,2013,90626.62353,江西省,360000
赣州市,360700,2013,195548.6471,江西省,360000
吉安市,360800,2013,113364.7765,江西省,360000
景德镇市,360200,2013,36117.19216,江西省,360000
九江市,360400,2013,127578.4824,江西省,360000
南昌市,360100,2013,101271.0941,江西省,360000
萍乡市,360300,2013,32338.81961,江西省,360000
上饶市,361100,2013,137109.5686,江西省,360000
新余市,360500,2013,32993.65098,江西省,360000
宜春市,360900,2013,126271.3569,江西省,360000
鹰潭市,360600,2013,29336.55294,江西省,360000
鞍山市,210300,2013,138726.1804,辽宁省,210000
本溪市,210500,2013,106517.9333,辽宁省,210000
朝阳市,211300,2013,190756.8627,辽宁省,210000
大连市,210200,2013,258245.4039,辽宁省,210000
丹东市,210600,2013,125613.902,辽宁省,210000
抚顺市,210400,2013,132624.6784,辽宁省,210000
阜新市,210900,2013,103770.2275,辽宁省,210000
葫芦岛市,211400,2013,120327.0667,辽宁省,210000
锦州市,210700,2013,127296.7725,辽宁省,210000
辽阳市,211000,2013,105316.4275,辽宁省,210000
盘锦市,211100,2013,102403.7804,辽宁省,210000
沈阳市,210100,2013,287000.7255,辽宁省,210000
铁岭市,211200,2013,159133.4196,辽宁省,210000
营口市,210800,2013,123932.2314,辽宁省,210000
海东市,630200,2013,87634.47059,青海省,630000
西宁市,630100,2013,81365.3451,青海省,630000
滨州市,371600,2013,168504.2118,山东省,370000
德州市,371400,2013,149431.0235,山东省,370000
东营市,370500,2013,164995.0627,山东省,370000
菏泽市,371700,2013,174146.4275,山东省,370000
济南市,370100,2013,214673.7922,山东省,370000
济宁市,370800,2013,200737.7216,山东省,370000
聊城市,371500,2013,133631.2667,山东省,370000
临沂市,371300,2013,265655.0392,山东省,370000
青岛市,370200,2013,271551.5412,山东省,370000
