year,countyCode,total_sol,urban_sol,agriculture_sol
2001,530802,538.481748,496.6107944,15.64704764
2001,530304,74.95395064,37.30690694,35.20370555
2001,530302,2339.626304,1753.314777,302.5757726
2001,530303,718.9503181,240.6858929,275.0454078
2001,530402,4377.362665,3897.575306,302.7816951
2001,530403,259.3612982,179.4070126,52.50989389
2001,530602,726.1930563,611.0146142,100.5675321
2001,530128,99.17679403,29.13464594,12.85960174
2001,530126,744.5923164,294.7256522,257.5742618
2001,530129,143.8361848,34.53724337,68.00311828
2001,530724,24.30299425,9.984273195,3.267431617
2001,530721,9.434787151,2.77341017,2.555656211
2001,530927,26.96665645,4.896607518,6.06822288
2001,530926,170.917457,117.7659501,38.39208984
2001,530925,26.59824467,23.76118433,2.837060332
2001,530826,17.82040977,1.001144052,0
2001,530823,127.2335136,86.33815682,3.188074376
2001,530824,63.78384463,35.38199115,12.73661292
2001,530828,107.38275,56.38922763,31.03552806
2001,530827,58.41307663,32.81598889,1.224586725
2001,530822,135.6991323,18.36638522,19.00649286
2001,530821,176.4064632,52.22751236,35.64609177
2001,530829,38.52155828,0,0
2001,530825,43.06377816,20.00734186,7.831004262
2001,530426,187.2404836,140.6761515,21.52695286
2001,530427,226.6458966,120.9888239,23.81586516
2001,530428,273.2605615,214.7810698,40.1942234
2001,220822,395.0711184,328.7186632,66.35245514
2001,220821,475.2993891,249.1856275,220.1818874
2001,220621,543.5204512,459.4230161,28.85645711
2001,220622,295.640235,204.4022554,64.60686326
2001,220221,298.5447296,147.0908363,147.7359808
2001,220421,173.4137239,115.4126409,58.00108292
2001,220422,71.3419677,28.42311025,42.91885746
2001,220322,304.740837,230.4454194,74.29541755
2001,220723,158.1234229,122.3103627,35.81306016
2001,220722,242.4674305,125.4034185,117.0640119
2001,220523,439.0335387,351.1471565,87.88638218
2001,220524,320.3476926,247.8256453,72.52204728
2001,220521,275.0288269,163.2573156,59.94621853
2001,220122,981.3218411,559.724606,421.5972351
2001,220882,314.2483203,183.8113838,130.4369365
2001,220881,452.6702492,415.0318171,37.63843213
2001,220681,128.0840051,89.48443837,7.930558801
2001,220282,678.1319903,523.9396261,91.14586329
2001,220281,346.9068139,277.6421432,62.4288547
2001,220284,528.5081237,389.3604654,136.2612603
2001,220283,644.4235905,436.1332022,199.290038
2001,220382,634.8598801,240.4616889,394.3981912
2001,220781,122.6334921,77.48319626,45.15029585
2001,220582,184.8124394,155.3801666,14.87942374
2001,220581,880.5227174,807.2356562,73.28706118
2001,220183,1072.479669,877.3224052,195.1572638
2001,220184,819.4444686,730.0003226,89.44414604
2001,220182,550.7120378,437.4599862,113.2520516
2001,220802,1982.43481,1696.104654,286.3301563
2001,220602,1569.555005,1422.940098,70.86688411
2001,220605,512.5167203,219.398585,78.07715774
2001,220202,6276.041662,6248.65629,27.38537198
2001,220204,5196.13378,5094.079015,102.0547642
2001,220211,2686.446138,2534.952089,118.9622729
2001,220203,5054.54454,4793.581077,175.7178258
2001,220402,1625.824215,1545.98777,79.83644474
2001,220403,550.2923304,544.206822,6.085508466
2001,220303,1432.708171,1227.68083,205.0273409
2001,220702,6021.159243,5056.374636,964.7846072
2001,220502,2023.360847,1724.48762,94.46611989
2001,220503,650.1654767,580.0076281,5.055401885
2001,220104,8660.751466,8621.356703,39.39476292
2001,220105,9114.774797,8913.280502,201.4942947
2001,220113,568.5622549,400.9488909,167.613364
2001,220103,6846.351574,6745.300077,101.0514975
2001,220106,13551.82147,13012.40701,539.4144631
2001,220102,10399.68452,9584.868905,807.1589473
2001,220112,545.4052495,268.5458767,276.8593728
2001,220302,1125.007961,1034.117319,90.89064273
2001,220623,29.82429916,28.77233095,0
2001,220323,159.4451215,108.5383291,50.9067924
2001,220721,1237.433614,1133.046421,104.3871937
2001,511922,28.25822616,19.67727864,0
2001,511923,30.37199114,21.88834,1.222040415
2001,511921,60.52698934,30.97014475,0
2001,510129,99.70373011,71.3459208,24.23443127
2001,510121,166.7614069,129.7515322,10.88728424
2001,510131,73.82467687,67.71474099,0
2001,511724,45.82533276,38.01129365,6.566671491
2001,511723,34.13446806,15.06856179,7.033233643
2001,511725,37.72221851,23.78650928,7.968315363
2001,511722,22.5814184,11.94722414,1.330666304
2001,510623,76.56648636,74.02852607,2.537960291
2001,511623,34.66281629,28.98655581,4.618595719
2001,511622,37.51083422,22.34427011,14.13244951
2001,511621,45.19445336,34.39460146,10.79985189
2001,510824,36.18932176,12.56615543,0
2001,510823,2.699134231,0,0
2001,510822,16.07345343,3.751503229,0
2001,510821,8.829535127,5.391050339,0
2001,511126,22.50944185,21.24909759,0
2001,511123,36.77394211,28.19151223,0
2001,511124,2.359890699,2.359890699,0
2001,511129,1.176579952,0,0
2001,510525,81.01038268,1.073409915,43.3567661
2001,510522,40.58047581,25.50335217,1.159958482
2001,510521,60.22882938,34.0970211,24.44334424
2001,510524,65.58740556,9.31832695,13.32833624
2001,511424,1.183164835,0,0
2001,511423,16.28637255,13.13142574,0
2001,511425,11.69336998,11.69336998,0
2001,511421,93.4872632,73.4620775,7.950734615
2001,510727,16.66502512,6.788668513,0
2001,510722,134.9387956,95.04148948,33.80958486
2001,510723,38.82675064,26.24589014,0
2001,510725,77.03688216,59.94597352,1.190246582
2001,511321,184.2632691,156.3839108,9.948982477
2001,511323,60.95174325,57.26068008,2.604687333
2001,511325,52.67682934,45.09680605,0
2001,511324,23.09073341,8.224949598,1.948837519
2001,511322,73.08211865,21.5614568,19.04638243
2001,511024,119.5678669,95.31844833,0
2001,511025,57.31667173,49.10107052,8.215601206
2001,510421,125.4034581,3.638026357,16.39748216
2001,510422,140.7902212,0,0
2001,510923,31.11030471,31.11030471,0
2001,510921,33.66690576,29.11887455,2.12267077
2001,511827,3.538912177,0,0
2001,511823,26.76256669,0,3.43117857
2001,511826,2.666646957,0,2.666646957
2001,511824,34.11188461,13.51341534,4.882944107
2001,511825,3.376320004,1.1441921,0
2001,511822,3.080034375,0,0
2001,511525,0,0,0
2001,511526,15.29445871,7.912623644,0
2001,511523,2.113598347,2.113598347,0
2001,511529,0.646327422,0.646327422,0
2001,511528,5.056854486,0,0
2001,511527,21.82754517,4.901872396,1.047710776
2001,511524,26.52636993,13.6405617,7.895453215
2001,512021,63.06372925,47.71185577,10.70220276
2001,512022,53.19358215,45.52546883,0.322544914
2001,510322,27.88891292,21.3817935,4.868288875
2001,510321,40.68610072,19.80104852,15.40765381
