SgnYear,AreaID,CountyName,PrefLevCity,Province,CountyCode,FixAst
2000,20404196,东乌珠穆沁旗,锡林郭勒盟,内蒙古自治区,152525,2.65
2000,20404197,西乌珠穆沁旗,锡林郭勒盟,内蒙古自治区,152526,0.71
2000,20404198,太仆寺旗,锡林郭勒盟,内蒙古自治区,152527,0.82
2000,20404199,镶黄旗,锡林郭勒盟,内蒙古自治区,152528,0.12
2000,20404200,正镶白旗,锡林郭勒盟,内蒙古自治区,152529,0.61
2000,20404201,正蓝旗,锡林郭勒盟,内蒙古自治区,152530,0.66
2000,20404202,多伦县,锡林郭勒盟,内蒙古自治区,152531,1.2
2000,20404448,集宁市,乌兰察布盟,内蒙古自治区,152601,7.69
2000,20404182,丰镇市,乌兰察布盟,内蒙古自治区,152602,1.4
2000,20404364,回民区,呼和浩特市,内蒙古自治区,150103,1.74
2000,20404449,卓资县,乌兰察布盟,内蒙古自治区,152624,1.15
2000,20404450,化德县,乌兰察布盟,内蒙古自治区,152625,0.61
2000,20404175,商都县,乌兰察布盟,内蒙古自治区,152626,0.53
2000,20404176,兴和县,乌兰察布盟,内蒙古自治区,152627,0.59
2000,20404177,凉城县,乌兰察布盟,内蒙古自治区,152629,1.12
2000,20404178,察哈尔右翼前旗,乌兰察布盟,内蒙古自治区,152630,1.52
2000,20404179,察哈尔右翼中旗,乌兰察布盟,内蒙古自治区,152631,0.93
2000,20404180,察哈尔右翼后旗,乌兰察布盟,内蒙古自治区,152632,1.17
2000,20404181,四子王旗,乌兰察布盟,内蒙古自治区,152634,0.72
2000,20404439,临河市,巴彦淖尔盟,内蒙古自治区,152801,11.24
2000,20405357,象山县,宁波市,浙江省,330225,10.84
2000,20405358,宁海县,宁波市,浙江省,330226,10.44
2000,20405256,鄞县,宁波市,浙江省,330227,19.21
2000,20405140,瑞安市,温州市,浙江省,330381,16.64
2000,20405141,乐清市,温州市,浙江省,330382,12.16
2000,20405134,洞头县,温州市,浙江省,330322,1.8
2000,20405135,永嘉县,温州市,浙江省,330324,7.37
2000,20405136,平阳县,温州市,浙江省,330326,11.32
2000,20405137,苍南县,温州市,浙江省,330327,8.86
2000,20405138,文成县,温州市,浙江省,330328,2.07
2000,20405139,泰顺县,温州市,浙江省,330329,2.6
2000,20405148,海宁市,嘉兴市,浙江省,330481,16.51
2000,20405149,平湖市,嘉兴市,浙江省,330482,8.64
2000,20405150,桐乡市,嘉兴市,浙江省,330483,14.29
2000,20405146,嘉善县,嘉兴市,浙江省,330421,8.04
2000,20405147,海盐县,嘉兴市,浙江省,330424,6.59
2000,20405155,德清县,湖州市,浙江省,330521,7
2000,20405156,长兴县,湖州市,浙江省,330522,11.41
2000,20405157,安吉县,湖州市,浙江省,330523,7.39
2000,20405163,诸暨市,绍兴市,浙江省,330681,10.87
2000,20405164,上虞市,绍兴市,浙江省,330682,17.13
2000,20405165,嵊州市,绍兴市,浙江省,330683,12.39
2000,20405161,绍兴县,绍兴市,浙江省,330621,16.29
2000,20405162,新昌县,绍兴市,浙江省,330624,22.71
2000,20405173,兰溪市,金华市,浙江省,330781,5.19
2000,20405175,东阳市,金华市,浙江省,330783,7.69
2000,20405174,义乌市,金华市,浙江省,330782,18.89
2000,20405176,永康市,金华市,浙江省,330784,11.77
2000,20405170,武义县,金华市,浙江省,330723,4.18
2000,20405171,浦江县,金华市,浙江省,330726,4.28
2000,20405172,磐安县,金华市,浙江省,330727,2.59
2000,20405180,衢县,衢州市,浙江省,330821,2.54
2000,20405181,常山县,衢州市,浙江省,330822,2.67
2000,20405182,开化县,衢州市,浙江省,330824,2.36
2000,20405183,龙游县,衢州市,浙江省,330825,3.73
2000,20405189,岱山县,舟山市,浙江省,330921,1.82
2000,20405190,嵊泗县,舟山市,浙江省,330922,6.54
2000,20405201,临海市,台州市,浙江省,331082,19.15
2000,20405200,温岭市,台州市,浙江省,331081,13.7
