SgnYear,AreaID,CountyName,PrefLevCity,Province,CountyCode,PopNum,Pop_Agr,Pop_NonAgr,ResdPop_Urban,ResdPop_Rural
2000,20406733,思茅市,思茅地区,云南省,532701,18.5,10.8,7.7,,
2000,20406734,普洱哈尼族彝族自治县,思茅地区,云南省,532722,18.6,15.2,3.4,,
2000,20406735,墨江哈尼族自治县,思茅地区,云南省,532723,35.2,32.8,2.4,,
2000,20406736,景东彝族自治县,思茅地区,云南省,532724,35.1,32.6,2.5,,
2000,20406737,景谷傣族彝族自治县,思茅地区,云南省,532725,28.9,26,2.9,,
2000,20406738,镇沅彝族哈尼族拉祜族自治县,思茅地区,云南省,532726,20.4,18.5,1.9,,
2000,20406739,江城哈尼族彝族自治县,思茅地区,云南省,532727,9.1,7.3,1.8,,
2000,20406740,孟连傣族拉祜族佤族自治县,思茅地区,云南省,532728,11,9.6,1.4,,
2000,20406741,澜沧拉祜族自治县,思茅地区,云南省,532729,46.8,43.3,3.5,,
2000,20406742,西盟佤族自治县,思茅地区,云南省,532730,8.2,7.3,0.9,,
2000,20407013,景洪市,西双版纳傣族自治州,云南省,532801,36.7,22.1,14.6,,
2000,20407014,勐海县,西双版纳傣族自治州,云南省,532822,29.3,24.8,4.5,,
2000,20407015,勐腊县,西双版纳傣族自治州,云南省,532823,19.3,12.2,7.1,,
2000,20407017,大理市,大理白族自治州,云南省,532901,50,31.5,18.5,,
2000,20407018,漾濞彝族自治县,大理白族自治州,云南省,532922,9.8,8.8,1,,
2000,20407019,祥云县,大理白族自治州,云南省,532923,43.5,41,2.5,,
2000,20407020,宾川县,大理白族自治州,云南省,532924,32.3,30.3,2,,
2000,20407021,弥渡县,大理白族自治州,云南省,532925,30.6,28.5,2.1,,
2000,20407022,南涧彝族自治县,大理白族自治州,云南省,532926,21.2,19.9,1.3,,
2000,20407023,巍山彝族回族自治县,大理白族自治州,云南省,532927,29.6,27.6,2,,
2000,20407024,永平县,大理白族自治州,云南省,532928,17,15.6,1.4,,
