SgnYear,AreaID,CountyName,PrefLevCity,Province,CountyCode,TotalImpExp,Import,Export
2000,20405719,庆云县,德州市,山东省,371423,,,0.01
2000,20405720,临邑县,德州市,山东省,371424,,,0.01
2000,20405721,齐河县,德州市,山东省,371425,,,0.09
2000,20405722,平原县,德州市,山东省,371426,,,0.02
2000,20405723,夏津县,德州市,山东省,371427,,,0.02
2000,20405724,武城县,德州市,山东省,371428,,,0.01
2000,20405725,乐陵市,德州市,山东省,371481,,,0.1
2000,20405726,禹城市,德州市,山东省,371482,,,0.2
2000,20405729,东昌府区,聊城市,山东省,371502,,,0.08
2000,20405730,阳谷县,聊城市,山东省,371521,,,0.26
2000,20405731,莘县,聊城市,山东省,371522,,,0.02
2000,20405832,茌平县,聊城市,山东省,371523,,,0.02
2000,20405835,高唐县,聊城市,山东省,371526,,,0.05
2000,20405836,临清市,聊城市,山东省,371581,,,0.06
2000,20405839,滨城区,滨州市,山东省,371602,,,1.17
2000,20405840,惠民县,滨州市,山东省,371621,,,0.03
2000,20405841,阳信县,滨州市,山东省,371622,,,0.22
2000,20405842,无棣县,滨州市,山东省,371623,,,0.11
2000,20405843,沾化县,滨州市,山东省,371624,,,0.01
2000,20405844,博兴县,滨州市,山东省,371625,,,0.05
2000,20405845,邹平县,滨州市,山东省,371626,,,1.21
2000,20405848,牡丹区,菏泽市,山东省,371702,,,0.32
2000,20405849,曹县,菏泽市,山东省,371721,,,0.17
2000,20405850,单县,菏泽市,山东省,371722,,,0.02
2000,20405851,成武县,菏泽市,山东省,371723,,,0.01
2000,20405852,巨野县,菏泽市,山东省,371724,,,0.02
2000,20405853,郓城县,菏泽市,山东省,371725,,,0.05
2000,20405854,鄄城县,菏泽市,山东省,371726,,,0.01
2000,20405855,定陶县,菏泽市,山东省,371727,,,0.01
2000,20405856,东明县,菏泽市,山东省,371728,,,0.03
2000,20405085,江宁区,南京市,江苏省,320115,31148,,13037
2000,20408037,江浦县,南京市,江苏省,320122,3384,,2374
2000,20405086,六合县,南京市,江苏省,320123,2542,,984
2000,20405087,溧水县,南京市,江苏省,320124,1853,,1575
2000,20405088,高淳县,南京市,江苏省,320125,3621,,3016
2000,20405097,江阴市,无锡市,江苏省,320281,108105,,52176
2000,20405098,宜兴市,无锡市,江苏省,320282,25350,,21859
2000,20407876,,无锡市,江苏省,,54153,,31393
2000,20405010,丰县,徐州市,江苏省,320321,314,,314
2000,20405011,沛县,徐州市,江苏省,320322,355,,342
2000,20405009,铜山县,徐州市,江苏省,320323,2260,,1743
2000,20405012,睢宁县,徐州市,江苏省,320324,194,,180
2000,20405013,新沂市,徐州市,江苏省,320381,1898,,656
2000,20405014,邳州市,徐州市,江苏省,320382,878,,864
2000,20405022,溧阳市,常州市,江苏省,320481,8277,,5353
2000,20405023,金坛市,常州市,江苏省,320482,22454,,17257
2000,20405021,武进市,常州市,江苏省,320483,75790,,49960
2000,20405032,常熟市,苏州市,江苏省,320581,156102,,105089
2000,20405033,张家港市,苏州市,江苏省,320582,182498,,91892
2000,20405034,昆山市,苏州市,江苏省,320583,376474,,203493
2000,20405035,吴江市,苏州市,江苏省,320584,123412,,61435
2000,20405036,太仓市,苏州市,江苏省,320585,107472,,60316
2000,20408044,,苏州市,江苏省,,88827,,58679
2000,20405042,海安县,南通市,江苏省,320621,4134,,3511
2000,20405043,如东县,南通市,江苏省,320623,17524,,12916
2000,20405044,启东市,南通市,江苏省,320681,12820,,9932
2000,20405045,如皋市,南通市,江苏省,320682,12889,,11269
2000,20405041,通州市,南通市,江苏省,320683,43121,,30449
2000,20405046,海门市,南通市,江苏省,320684,11041,,8181
2000,20405052,赣榆县,连云港市,江苏省,320721,820,,729
2000,20405053,东海县,连云港市,江苏省,320722,1579,,1396
2000,20405054,灌云县,连云港市,江苏省,320723,1286,,680
2000,20405055,灌南县,连云港市,江苏省,320724,168,,168
2000,20405060,淮阴区,淮安市,江苏省,320804,152,,150
2000,20405062,涟水县,淮安市,江苏省,320826,190,,185
2000,20405063,洪泽县,淮安市,江苏省,320829,203,,203
2000,20405064,盱眙县,淮安市,江苏省,320830,876,,851
2000,20405065,金湖县,淮安市,江苏省,320831,302,,289
2000,20405070,响水县,盐城市,江苏省,320921,368,,359
2000,20405071,滨海县,盐城市,江苏省,320922,200,,200
2000,20405072,阜宁县,盐城市,江苏省,320923,832,,818
2000,20405073,射阳县,盐城市,江苏省,320924,4438,,1911
2000,20405074,建湖县,盐城市,江苏省,320925,1243,,961
2000,20405069,盐都县,盐城市,江苏省,320928,2654,,1499
2000,20405075,东台市,盐城市,江苏省,320981,4832,,2472
2000,20405076,大丰市,盐城市,江苏省,320982,4575,,4457
2000,20405207,宝应县,扬州市,江苏省,321023,4376,,3234
2000,20405080,邗江区,扬州市,江苏省,321003,9131,,5884
2000,20405208,仪征市,扬州市,江苏省,321081,31642,,1787
2000,20405209,高邮市,扬州市,江苏省,321084,3547,,2993
2000,20405081,江都市,扬州市,江苏省,321088,10962,,6553
2000,20405214,丹徒县,镇江市,江苏省,321121,5355,,4373
2000,20405215,丹阳市,镇江市,江苏省,321181,19077,,14213
2000,20405216,扬中市,镇江市,江苏省,321182,6193,,3384
2000,20405217,句容市,镇江市,江苏省,321183,5245,,3882
2000,20405222,兴化市,泰州市,江苏省,321281,1250,,1019
2000,20405223,靖江市,泰州市,江苏省,321282,16590,,12909
2000,20405224,泰兴市,泰州市,江苏省,321283,6965,,5345
2000,20405225,姜堰市,泰州市,江苏省,321284,4886,,3396
2000,20405229,宿豫县,宿迁市,江苏省,321321,1924,,1679
2000,20405230,沭阳县,宿迁市,江苏省,321322,32,,32
2000,20405231,泗阳县,宿迁市,江苏省,321323,101,,65
2000,20405232,泗洪县,宿迁市,江苏省,321324,95,,93
2000,20404219,辽中县,沈阳市,辽宁省,210122,,,
