county,countyCode,year,total_sol,city,cityCode,province,provinceCode
塔城市,654201,2013,2639.691748577239,塔城地区,654200,新疆维吾尔自治区,650000
乌苏市,654202,2013,6151.624056515681,塔城地区,654200,新疆维吾尔自治区,650000
塔什库尔干塔吉克自治县,653131,2013,292.3497508466244,喀什地区,653100,新疆维吾尔自治区,650000
和布克赛尔蒙古自治县,654226,2013,5211.794934467416,塔城地区,654200,新疆维吾尔自治区,650000
台湾省,710000,2013,779013.330110864,台湾省,710000,台湾省,710000
昌宁县,530524,2013,1530.8717711053935,保山市,530500,云南省,530000
龙陵县,530523,2013,1425.1459414796211,保山市,530500,云南省,530000
施甸县,530521,2013,772.338257910136,保山市,530500,云南省,530000
富民县,530124,2013,2047.4199137822088,昆明市,530100,云南省,530000
嵩明县,530127,2013,5240.042544596512,昆明市,530100,云南省,530000
宜良县,530125,2013,3610.668119765438,昆明市,530100,云南省,530000
华坪县,530723,2013,1979.3761604805202,丽江市,530700,云南省,530000
永胜县,530722,2013,1601.2392892288517,丽江市,530700,云南省,530000
凤庆县,530921,2013,1727.995041024042,临沧市,530900,云南省,530000
永德县,530923,2013,562.0939292097501,临沧市,530900,云南省,530000
云县,530922,2013,1872.8216896957042,临沧市,530900,云南省,530000
镇康县,530924,2013,1163.5563760647296,临沧市,530900,云南省,530000
富源县,530325,2013,5148.115168108573,曲靖市,530300,云南省,530000
会泽县,530326,2013,4258.857607711238,曲靖市,530300,云南省,530000
陆良县,530322,2013,2376.5527930593375,曲靖市,530300,云南省,530000
罗平县,530324,2013,4357.033332910783,曲靖市,530300,云南省,530000
师宗县,530323,2013,2875.620244513394,曲靖市,530300,云南省,530000
华宁县,530424,2013,1420.1280887353946,玉溪市,530400,云南省,530000
通海县,530423,2013,2197.4469325124637,玉溪市,530400,云南省,530000
易门县,530425,2013,793.898956620255,玉溪市,530400,云南省,530000
大关县,530624,2013,412.010679728903,昭通市,530600,云南省,530000
鲁甸县,530621,2013,1609.1635643376444,昭通市,530600,云南省,530000
巧家县,530622,2013,1240.7489572899601,昭通市,530600,云南省,530000
绥江县,530626,2013,547.7486353967705,昭通市,530600,云南省,530000
威信县,530629,2013,602.1568963541412,昭通市,530600,云南省,530000
盐津县,530623,2013,300.9110092073679,昭通市,530600,云南省,530000
彝良县,530628,2013,748.7194497362071,昭通市,530600,云南省,530000
永善县,530625,2013,1515.1754824843479,昭通市,530600,云南省,530000
镇雄县,530627,2013,1769.2274454385042,昭通市,530600,云南省,530000
腾冲市,530581,2013,2763.970358471456,保山市,530500,云南省,530000
安宁市,530181,2013,12100.248341985653,昆明市,530100,云南省,530000
宣威市,530381,2013,7517.968224694214,曲靖市,530300,云南省,530000
澄江市,530481,2013,4670.469903682497,玉溪市,530400,云南省,530000
水富市,530681,2013,1302.7892963314757,昭通市,530600,云南省,530000
隆阳区,530502,2013,4769.620213769697,保山市,530500,云南省,530000
呈贡区,530114,2013,16597.163236142376,昆明市,530100,云南省,530000
东川区,530113,2013,2654.3420738397276,昆明市,530100,云南省,530000
官渡区,530111,2013,32064.33409800518,昆明市,530100,云南省,530000
晋宁区,530115,2013,8018.845815583919,昆明市,530100,云南省,530000
盘龙区,530103,2013,11826.025920377468,昆明市,530100,云南省,530000
五华区,530102,2013,11895.50036244428,昆明市,530100,云南省,530000
西山区,530112,2013,18936.598546467627,昆明市,530100,云南省,530000
古城区,530702,2013,8285.751898636507,丽江市,530700,云南省,530000
临翔区,530902,2013,2866.475405430034,临沧市,530900,云南省,530000
思茅区,530802,2013,5529.747005035362,普洱市,530800,云南省,530000
马龙区,530304,2013,3146.7026951908483,曲靖市,530300,云南省,530000
麒麟区,530302,2013,11098.751804204256,曲靖市,530300,云南省,530000
沾益区,530303,2013,5544.345405072413,曲靖市,530300,云南省,530000
红塔区,530402,2013,12592.09716406862,玉溪市,530400,云南省,530000
江川区,530403,2013,1419.4824205009372,玉溪市,530400,云南省,530000
昭阳区,530602,2013,8586.477883922234,昭通市,530600,云南省,530000
禄劝彝族苗族自治县,530128,2013,2151.025573803397,昆明市,530100,云南省,530000
石林彝族自治县,530126,2013,2830.637563155709,昆明市,530100,云南省,530000
寻甸回族彝族自治县,530129,2013,4185.885744625038,昆明市,530100,云南省,530000
宁蒗彝族自治县,530724,2013,981.5979927949461,丽江市,530700,云南省,530000
玉龙纳西族自治县,530721,2013,3932.32902453086,丽江市,530700,云南省,530000
沧源佤族自治县,530927,2013,1011.1122064690087,临沧市,530900,云南省,530000
耿马傣族佤族自治县,530926,2013,1545.8218646837508,临沧市,530900,云南省,530000
双江拉祜族佤族布朗族傣族自治县,530925,2013,385.15322575718164,临沧市,530900,云南省,530000
江城哈尼族彝族自治县,530826,2013,286.39451645855223,普洱市,530800,云南省,530000
景东彝族自治县,530823,2013,590.6520691791586,普洱市,530800,云南省,530000
景谷傣族彝族自治县,530824,2013,963.9173566261782,普洱市,530800,云南省,530000
澜沧拉祜族自治县,530828,2013,1424.5518315632262,普洱市,530800,云南省,530000
孟连傣族拉祜族佤族自治县,530827,2013,629.0259210793995,普洱市,530800,云南省,530000
墨江哈尼族自治县,530822,2013,869.9648710078177,普洱市,530800,云南省,530000
宁洱哈尼族彝族自治县,530821,2013,862.1984495602402,普洱市,530800,云南省,530000
西盟佤族自治县,530829,2013,197.23921260906786,普洱市,530800,云南省,530000
镇沅彝族哈尼族拉祜族自治县,530825,2013,505.48524100859373,普洱市,530800,云南省,530000
峨山彝族自治县,530426,2013,1934.9048691314224,玉溪市,530400,云南省,530000
新平彝族傣族自治县,530427,2013,2925.389365107698,玉溪市,530400,云南省,530000
元江哈尼族彝族傣族自治县,530428,2013,3078.5269787838356,玉溪市,530400,云南省,530000
通榆县,220822,2013,1969.0887365049591,白城市,220800,吉林省,220000
镇赉县,220821,2013,4334.687406248965,白城市,220800,吉林省,220000
抚松县,220621,2013,3084.4411805310965,白山市,220600,吉林省,220000
靖宇县,220622,2013,1806.945583686174,白山市,220600,吉林省,220000
永吉县,220221,2013,2477.9190333247766,吉林市,220200,吉林省,220000
东丰县,220421,2013,2727.4537844543947,辽源市,220400,吉林省,220000
东辽县,220422,2013,1737.0900079677504,辽源市,220400,吉林省,220000
梨树县,220322,2013,4137.977821911024,四平市,220300,吉林省,220000
乾安县,220723,2013,3193.9531386425097,松原市,220700,吉林省,220000
长岭县,220722,2013,2701.9866121709924,松原市,220700,吉林省,220000
辉南县,220523,2013,1912.7963984627352,通化市,220500,吉林省,220000
柳河县,220524,2013,2574.7949255239146,通化市,220500,吉林省,220000
通化县,220521,2013,1780.7654909805342,通化市,220500,吉林省,220000
农安县,220122,2013,5922.239028315451,长春市,220100,吉林省,220000
大安市,220882,2013,3273.9353667573023,白城市,220800,吉林省,220000
洮南市,220881,2013,2407.098681063103,白城市,220800,吉林省,220000
临江市,220681,2013,787.4630834187947,白山市,220600,吉林省,220000
桦甸市,220282,2013,3787.9746811316877,吉林市,220200,吉林省,220000
蛟河市,220281,2013,3023.6817600038703,吉林市,220200,吉林省,220000
磐石市,220284,2013,5651.5108841324545,吉林市,220200,吉林省,220000
舒兰市,220283,2013,5286.337922642687,吉林市,220200,吉林省,220000
双辽市,220382,2013,2974.669944916987,四平市,220300,吉林省,220000
扶余市,220781,2013,3130.812857421473,松原市,220700,吉林省,220000
集安市,220582,2013,944.6556989135113,通化市,220500,吉林省,220000
梅河口市,220581,2013,4488.098519733957,通化市,220500,吉林省,220000
德惠市,220183,2013,3979.6271783090106,长春市,220100,吉林省,220000
公主岭市,220184,2013,9005.286315243326,长春市,220100,吉林省,220000
榆树市,220182,2013,4986.641314814196,长春市,220100,吉林省,220000
洮北区,220802,2013,5129.548968842509,白城市,220800,吉林省,220000
浑江区,220602,2013,4590.328176847861,白山市,220600,吉林省,220000
