Sgnyea,Prvcnm_id,Prvcnm,Ifa0101,Ifa0102,Ifa0104
1997,130000,河北省,1425.98,,
1997,330000,浙江省,1608.56,,
1997,370000,山东省,1742.53,,
1997,310000,上海市,1981.48,,
1997,320000,江苏省,2174.97,,
1997,440000,广东省,2291.05,,
1997,142,中国,24941.1,19194.2,5746.9
1998,540000,西藏自治区,41.26,,
1998,640000,宁夏回族自治区,106.75,,
1998,630000,青海省,108.78,,
1998,460000,海南省,173.37,,
1998,520000,贵州省,278.41,,
1998,620000,甘肃省,301.45,,
1998,150000,内蒙古自治区,316.76,,
1998,360000,江西省,400.6,,
1998,220000,吉林省,431.78,,
1998,140000,山西省,454.93,,
1998,500000,重庆市,492.97,,
1998,650000,新疆维吾尔自治区,514.77,,
1998,610000,陕西省,517.57,,
1998,450000,广西壮族自治区,562.32,,
1998,120000,天津市,571.05,,
1998,530000,云南省,660.43,,
1998,340000,安徽省,722.61,,
1998,230000,黑龙江省,770.05,,
1998,430000,湖南省,796.89,,
1998,350000,福建省,1053.01,,
1998,210000,辽宁省,1057.7,,
1998,110000,北京市,1124.62,,
1998,510000,四川省,1145.33,,
1998,420000,湖北省,1156.76,,
1998,410000,河南省,1289.7,,
1998,130000,河北省,1591.76,,
1998,330000,浙江省,1801.74,,
1998,370000,山东省,1935.58,,
1998,310000,上海市,1966.38,,
1998,320000,江苏省,2450.37,,
1998,440000,广东省,2644.13,,
1998,142,中国,28406.2,22491.4,5914.8
1999,540000,西藏自治区,53.56,,
1999,630000,青海省,117.15,,
1999,640000,宁夏回族自治区,128.1,,
1999,460000,海南省,194.78,,
1999,520000,贵州省,311.93,,
1999,150000,内蒙古自治区,348.22,,
1999,620000,甘肃省,355.51,,
1999,360000,江西省,454.44,,
1999,140000,山西省,477.57,,
1999,220000,吉林省,500.02,,
1999,500000,重庆市,525.26,,
1999,650000,新疆维吾尔自治区,526.65,,
1999,120000,天津市,576.45,,
1999,450000,广西壮族自治区,578.76,,
1999,610000,陕西省,587.79,,
1999,530000,云南省,663.97,,
1999,340000,安徽省,703.45,,
1999,230000,黑龙江省,751.66,,
1999,430000,湖南省,883.94,,
1999,350000,福建省,1084.66,,
1999,210000,辽宁省,1119.47,,
1999,110000,北京市,1171.16,,
1999,410000,河南省,1206.83,,
1999,510000,四川省,1224.4,,
1999,420000,湖北省,1239.14,,
1999,130000,河北省,1770.47,,
1999,310000,上海市,1855.76,,
1999,330000,浙江省,1958.05,,
1999,370000,山东省,2220.57,,
1999,320000,江苏省,2441.88,,
1999,440000,广东省,2937.02,,
1999,142,中国,29854.7,23732,6122.7
2000,540000,西藏自治区,64.05,,
2000,630000,青海省,151.14,,
2000,640000,宁夏回族自治区,157.52,,
2000,460000,海南省,198.87,,
2000,620000,甘肃省,395.4,,
2000,520000,贵州省,396.98,,
2000,150000,内蒙古自治区,423.64,,
2000,360000,江西省,516.08,,
2000,140000,山西省,548.16,,
2000,500000,重庆市,572.59,,
2000,450000,广西壮族自治区,583.34,,
2000,220000,吉林省,603.51,,
2000,650000,新疆维吾尔自治区,610.39,,
2000,120000,天津市,610.94,,
2000,610000,陕西省,653.67,,
2000,530000,云南省,683.96,,
2000,340000,安徽省,803.97,,
2000,230000,黑龙江省,832.64,,
2000,430000,湖南省,1012.24,,
2000,350000,福建省,1112.2,,
2000,210000,辽宁省,1267.68,,
2000,110000,北京市,1280.46,,
2000,420000,湖北省,1339.2,,
2000,410000,河南省,1377.74,,
2000,510000,四川省,1418.04,,
2000,130000,河北省,1816.79,,
2000,310000,上海市,1869.38,,
2000,330000,浙江省,2349.95,,
2000,370000,山东省,2531.1,,
2000,320000,江苏省,2569.97,,
2000,440000,广东省,3145.13,,
2000,142,中国,32917.7,26221.8,6695.9
2001,540000,西藏自治区,83.26,,
