Sgnyea,Ctnm,Ctnm_id,Cttyp,Prvcnm_id,Prvcnm,Eect01,Eect02,Eect04
1992,阜阳市,341200,地级市,340000,安徽省,25.7477,19.7661,
1992,宿州市,341300,地级市,340000,安徽省,28.2665,17.2265,
1992,六安市,341500,地级市,340000,安徽省,626.651,71.9248,
1992,亳州市,341600,地级市,340000,安徽省,,,578
1992,福州市,350100,地级市,350000,福建省,544.72,128.98,455
1992,厦门市,350200,副省级市,350000,福建省,115.35,45.67,761
1992,莆田市,350300,地级市,350000,福建省,276.03,20.78,730
1992,三明市,350400,地级市,350000,福建省,250.5,54.91,109
1992,泉州市,350500,地级市,350000,福建省,598.68,67.11,551
1992,漳州市,350600,地级市,350000,福建省,423.33,62.57,336
1992,南平市,350700,地级市,350000,福建省,288.65,68.14,174
1992,龙岩市,350800,地级市,350000,福建省,271.7,38.65,159
1992,宁德市,350900,地级市,350000,福建省,297.89,38.97,223
1992,南昌市,360100,地级市,360000,江西省,392.2752,,512
1992,景德镇市,360200,地级市,360000,江西省,139.3973,,255
1992,萍乡市,360300,地级市,360000,江西省,143.7449,,431
1992,九江市,360400,地级市,360000,江西省,421.202,,219
1992,新余市,360500,地级市,360000,江西省,100.3353,,311
1992,鹰潭市,360600,地级市,360000,江西省,97.5913,,276
1992,赣州市,360700,地级市,360000,江西省,735.1952,,820
1992,吉安市,360800,地级市,360000,江西省,454.0073,,579
1992,宜春市,360900,地级市,360000,江西省,481.2944,,337
1992,上饶市,361100,地级市,360000,江西省,603.4061,,
1992,济南市,370100,副省级市,370000,山东省,530.7,204.6,645
1992,青岛市,370200,副省级市,370000,山东省,673.1,224.1,632
1992,淄博市,370300,地级市,370000,山东省,385.7,143,650
1992,枣庄市,370400,地级市,370000,山东省,326.7,84.6,718
1992,东营市,370500,地级市,370000,山东省,160.5,44.9,216
1992,烟台市,370600,地级市,370000,山东省,629,150.2,466
1992,潍坊市,370700,地级市,370000,山东省,864.9,152.9,500
1992,济宁市,370800,地级市,370000,山东省,749.8,132,702
1992,泰安市,370900,地级市,370000,山东省,649.1,153.6,690
1992,威海市,371000,地级市,370000,山东省,239.3,54.5,440
1992,日照市,371100,地级市,370000,山东省,107.2,31.2,560
1992,莱芜市,371200,地级市,370000,山东省,,,530
1992,临沂市,371300,地级市,370000,山东省,1063.2,109.8,939
1992,德州市,371400,地级市,370000,山东省,512.3,77.7,762
1992,聊城市,371500,地级市,370000,山东省,537.2,67.7,705
1992,滨州市,371600,地级市,370000,山东省,351.8,47.7,541
1992,菏泽市,371700,地级市,370000,山东省,799,82.2,832
1992,郑州市,410100,地级市,410000,河南省,572,153,747
1992,开封市,410200,地级市,410000,河南省,436,73,667
1992,洛阳市,410300,地级市,410000,河南省,584,114,380
1992,平顶山市,410400,地级市,410000,河南省,526,81,594
1992,安阳市,410500,地级市,410000,河南省,492,70,659
1992,鹤壁市,410600,地级市,410000,河南省,126,29,571
1992,新乡市,410700,地级市,410000,河南省,502,87,610
1992,焦作市,410800,地级市,410000,河南省,360,81,593
1992,濮阳市,410900,地级市,410000,河南省,320,42,751
1992,许昌市,411000,地级市,410000,河南省,341,42,834
1992,漯河市,411100,地级市,410000,河南省,226,29,859
1992,三门峡市,411200,地级市,410000,河南省,203,40,189
1992,南阳市,411300,地级市,410000,河南省,1004,97,2317
1992,商丘市,411400,地级市,410000,河南省,737,58,3043
1992,信阳市,411500,地级市,410000,河南省,720,80,1234
1992,周口市,411600,地级市,410000,河南省,956,73,1884
1992,驻马店市,411700,地级市,410000,河南省,761,56,1284
1992,武汉市,420100,副省级市,420000,湖北省,684.46,385.67,808
1992,黄石市,420200,地级市,420000,湖北省,134.74,57.39,728
1992,十堰市,420300,地级市,420000,湖北省,40.69,29.33,342
1992,宜昌市,420500,地级市,420000,湖北省,392.1,88.94,186
1992,襄阳市,420600,地级市,420000,湖北省,675.19,143.78,253
1992,鄂州市,420700,地级市,420000,湖北省,95,23.17,632
1992,荆门市,420800,地级市,420000,湖北省,105.73,23.34,240
1992,孝感市,420900,地级市,420000,湖北省,554.23,76.45,606
1992,咸宁市,421200,地级市,420000,湖北省,336.2,68.94,319
1992,长沙市,430100,地级市,430000,湖南省,555.39,148.08,470
1992,株洲市,430200,地级市,430000,湖南省,355.15,73.49,311
1992,湘潭市,430300,地级市,430000,湖南省,270.45,63.07,539
1992,衡阳市,430400,地级市,430000,湖南省,662.38,107.69,433
1992,邵阳市,430500,地级市,430000,湖南省,687.75,73.58,329
1992,岳阳市,430600,地级市,430000,湖南省,485.2,77.85,323
1992,常德市,430700,地级市,430000,湖南省,574.15,89.82,315
1992,益阳市,430900,地级市,430000,湖南省,434.35,64.68,1123
1992,郴州市,431000,地级市,430000,湖南省,429.97,66.67,858
1992,永州市,431100,地级市,430000,湖南省,,,284
1992,怀化市,431200,地级市,430000,湖南省,458.47,63.66,232
1992,娄底市,431300,地级市,430000,湖南省,379.09,57.95,766
1992,广州市,440100,副省级市,440000,广东省,612.2,355.84,824
1992,韶关市,440200,地级市,440000,广东省,287.27,91.83,154
1992,深圳市,440300,副省级市,440000,广东省,80.22,57.39,397
1992,珠海市,440400,地级市,440000,广东省,54.97,27.17,434
1992,汕头市,440500,地级市,440000,广东省,381.94,103,1850
1992,佛山市,440600,地级市,440000,广东省,291.15,105.74,763
1992,江门市,440700,地级市,440000,广东省,360.48,102.17,383
1992,湛江市,440800,地级市,440000,广东省,567.81,112.86,455
1992,茂名市,440900,地级市,440000,广东省,542.87,73.77,474
1992,肇庆市,441200,地级市,440000,广东省,568.75,96.79,255
1992,惠州市,441300,地级市,440000,广东省,239.33,65.36,214
1992,梅州市,441400,地级市,440000,广东省,443.09,68.32,280
