Sgnyea,Ctnm,Ctnm_id,Cttyp,Prvcnm_id,Prvcnm,Gdpct01,Gdpct02,Gdpct03,Gdpct04,GDP_PerCapita
1992,海北藏族自治州,632200,地级市,630000,青海省,4.2596,,,,
1992,玉树藏族自治州,632700,地级市,630000,青海省,2.1522,,,,
1992,重庆市,500000,直辖市,500000,重庆市,462.47,25.4,42.2,32.4,1645
1992,南京市,320100,副省级市,320000,江苏省,246.88,,,,4675
1992,无锡市,320200,地级市,320000,江苏省,288.14,,,,6819
1992,徐州市,320300,地级市,320000,江苏省,148.22,,,,1797
1992,常州市,320400,地级市,320000,江苏省,144.4,,,,4404
1992,苏州市,320500,地级市,320000,江苏省,359.69,,,,6360
1992,南通市,320600,地级市,320000,江苏省,180.49,,,,2316
1992,连云港市,320700,地级市,320000,江苏省,60.15,,,,1726
1992,盐城市,320900,地级市,320000,江苏省,127.85,,,,1644
1992,扬州市,321000,地级市,320000,江苏省,225.96,,,,2426
1992,镇江市,321100,地级市,320000,江苏省,101.91,,,,2928
1992,石家庄市,130100,地级市,130000,河北省,113.79,,,,3947
1992,唐山市,130200,地级市,130000,河北省,189.19,,,,2844
1992,秦皇岛市,130300,地级市,130000,河北省,68.92,,,,2746
1992,邯郸市,130400,地级市,130000,河北省,69.96,,,,3269
1992,邢台市,130500,地级市,130000,河北省,23.97,,,,2793
1992,保定市,130600,地级市,130000,河北省,46.78,,,,2852
1992,张家口市,130700,地级市,130000,河北省,39.87,,,,3894
1992,承德市,130800,地级市,130000,河北省,20,,,,2360
1992,廊坊市,131000,地级市,130000,河北省,81.86,,,,2373
1992,沧州市,130900,地级市,130000,河北省,24.23,,,,1806
1992,衡水市,131100,地级市,130000,河北省,58.3,,,,1495
1992,乌海市,150300,地级市,150000,内蒙古自治区,9.2703,,,,
1992,赤峰市,150400,地级市,150000,内蒙古自治区,55.0887,,,,
1992,呼伦贝尔市,150700,地级市,150000,内蒙古自治区,55.2564,,,,
1992,兴安盟,152200,地级市,150000,内蒙古自治区,15.4034,,,,
1992,锡林郭勒盟,152500,地级市,150000,内蒙古自治区,19.3484,,,,
1992,乌兰察布市,150900,地级市,150000,内蒙古自治区,29.1525,,,,
1992,鄂尔多斯市,150600,地级市,150000,内蒙古自治区,20.6843,,,,
1992,巴彦淖尔市,150800,地级市,150000,内蒙古自治区,27.8911,,,,
1992,阿拉善盟,152900,地级市,150000,内蒙古自治区,4.9072,,,,
1992,呼和浩特市,150100,地级市,150000,内蒙古自治区,39.8298,,,,
1992,包头市,150200,地级市,150000,内蒙古自治区,58.8821,,,,
1992,太原市,140100,地级市,140000,山西省,117.0257,,,,
1992,大同市,140200,地级市,140000,山西省,51.5443,,,,
1992,阳泉市,140300,地级市,140000,山西省,32.8524,,,,
1992,长治市,140400,地级市,140000,山西省,48.0766,,,,
1992,晋城市,140500,地级市,140000,山西省,39.0067,,,,
1992,朔州市,140600,地级市,140000,山西省,15.5743,,,,
1992,忻州市,140900,地级市,140000,山西省,28.1495,,,,
1992,吕梁市,141100,地级市,140000,山西省,30.4837,,,,
1992,临汾市,141000,地级市,140000,山西省,47.9225,,,,
1992,运城市,140800,地级市,140000,山西省,49.4123,,,,
1992,海南藏族自治州,632500,地级市,630000,青海省,6.8565,,,,
1992,黄南藏族自治州,632300,地级市,630000,青海省,2.6986,,,,
1992,海西蒙古族藏族自治州,632800,地级市,630000,青海省,11.969,,,,
1992,果洛藏族自治州,632600,地级市,630000,青海省,2.0158,,,,
1992,贵阳市,520100,地级市,520000,贵州省,62.1719,,,,3913
1992,遵义市,520300,地级市,520000,贵州省,73.3218,,,,1173
1992,铜仁市,520600,地级市,520000,贵州省,20.621,,,,622
1992,黔西南布依族苗族自治州,522300,地级市,520000,贵州省,14.8088,,,,575
1992,毕节市,520500,地级市,520000,贵州省,35.5405,,,,553
1992,安顺市,520400,地级市,520000,贵州省,36.3905,,,,1033
1992,黔东南苗族侗族自治州,522600,地级市,520000,贵州省,26.9352,,,,720
1992,黔南布依族苗族自治州,522700,地级市,520000,贵州省,35.7613,,,,1074
1992,六盘水市,520200,地级市,520000,贵州省,24.5248,,,,984
1992,兰州市,620100,地级市,620000,甘肃省,84.7611,,,,3302
1992,嘉峪关市,620200,地级市,620000,甘肃省,5.4324,,,,5063
1992,天水市,620500,地级市,620000,甘肃省,26.6954,,,,895
1992,酒泉市,620900,地级市,620000,甘肃省,21.9077,,,,2608
1992,张掖市,620700,地级市,620000,甘肃省,15.9399,,,,1374
1992,武威市,620600,地级市,620000,甘肃省,13.4426,,,,786
1992,定西市,621100,地级市,620000,甘肃省,13.5576,,,,517
1992,陇南市,621200,地级市,620000,甘肃省,15.0042,,,,615
1992,平凉市,620800,地级市,620000,甘肃省,13.8607,,,,708
1992,庆阳市,621000,地级市,620000,甘肃省,21.294,,,,958
1992,临夏回族自治州,622900,地级市,620000,甘肃省,8.5972,,,,523
1992,甘南藏族自治州,623000,地级市,620000,甘肃省,5.4012,,,,909
1992,金昌市,620300,地级市,620000,甘肃省,18.1299,,,,4661
1992,白银市,620400,地级市,620000,甘肃省,21.4347,,,,1444
1992,昆明市,530100,地级市,530000,云南省,141.6695,9.4,59.6,31,
1992,东川区,530113,地级市,530000,云南省,3.134,19.3,56.9,23.8,
1992,昭通市,530600,地级市,530000,云南省,32.645,37.4,37.3,25.3,
1992,曲靖市,530300,地级市,530000,云南省,69.87,30.1,41,28.9,
1992,楚雄彝族自治州,532300,地级市,530000,云南省,32.8548,36.6,40.3,23.1,
1992,玉溪市,530400,地级市,530000,云南省,54.9965,20.4,61.4,18.2,
1992,红河哈尼族彝族自治州,532500,地级市,530000,云南省,44.3114,31.3,36.1,32.6,
1992,文山壮族苗族自治州,532600,地级市,530000,云南省,17.5956,60.8,13.8,25.4,
1992,普洱市,530800,地级市,530000,云南省,20.101,43.4,20.3,36.3,
1992,西双版纳傣族自治州,532800,地级市,530000,云南省,14.3575,54.2,15.2,30.6,
1992,大理白族自治州,532900,地级市,530000,云南省,35.2206,40.6,29.5,29.9,
1992,保山市,530500,地级市,530000,云南省,19.7158,56.5,19.1,24.4,
1992,德宏傣族景颇族自治州,533100,地级市,530000,云南省,13.0884,41.6,19,39.4,
1992,丽江市,530700,地级市,530000,云南省,9.3508,44.8,23.4,31.8,
1992,怒江傈僳族自治州,533300,地级市,530000,云南省,3.8976,38.7,28.3,33,
