county,countyCode,year,hviirs,city,cityCode,province,provinceCode
台湾省,710000,2013,975397.902,台湾省,710000,台湾省,710000
昌宁县,530524,2013,15220.73725,保山市,530500,云南省,530000
龙陵县,530523,2013,15015.16471,保山市,530500,云南省,530000
施甸县,530521,2013,10070.43529,保山市,530500,云南省,530000
富民县,530124,2013,9842.341176,昆明市,530100,云南省,530000
嵩明县,530127,2013,14210.97255,昆明市,530100,云南省,530000
宜良县,530125,2013,17253.70588,昆明市,530100,云南省,530000
华坪县,530723,2013,16866.2549,丽江市,530700,云南省,530000
永胜县,530722,2013,22655.64706,丽江市,530700,云南省,530000
凤庆县,530921,2013,13941.59608,临沧市,530900,云南省,530000
永德县,530923,2013,12982.61176,临沧市,530900,云南省,530000
云县,530922,2013,17021.69804,临沧市,530900,云南省,530000
镇康县,530924,2013,11955.11373,临沧市,530900,云南省,530000
富源县,530325,2013,27500.69412,曲靖市,530300,云南省,530000
会泽县,530326,2013,35026.21569,曲靖市,530300,云南省,530000
陆良县,530322,2013,16560.58824,曲靖市,530300,云南省,530000
罗平县,530324,2013,23154.60784,曲靖市,530300,云南省,530000
师宗县,530323,2013,18445.91765,曲靖市,530300,云南省,530000
华宁县,530424,2013,8698.494118,玉溪市,530400,云南省,530000
通海县,530423,2013,8396.05098,玉溪市,530400,云南省,530000
易门县,530425,2013,8273.019608,玉溪市,530400,云南省,530000
大关县,530624,2013,10804.19216,昭通市,530600,云南省,530000
鲁甸县,530621,2013,10905.52941,昭通市,530600,云南省,530000
巧家县,530622,2013,15834.12157,昭通市,530600,云南省,530000
绥江县,530626,2013,5056.956863,昭通市,530600,云南省,530000
威信县,530629,2013,9030.635294,昭通市,530600,云南省,530000
盐津县,530623,2013,11329.08627,昭通市,530600,云南省,530000
彝良县,530628,2013,18601.8,昭通市,530600,云南省,530000
永善县,530625,2013,14754.00392,昭通市,530600,云南省,530000
镇雄县,530627,2013,22654.75686,昭通市,530600,云南省,530000
腾冲市,530581,2013,27947.27451,保山市,530500,云南省,530000
安宁市,530181,2013,25941.2,昆明市,530100,云南省,530000
宣威市,530381,2013,44574.76471,曲靖市,530300,云南省,530000
澄江市,530481,2013,12659.47451,玉溪市,530400,云南省,530000
水富市,530681,2013,4117.678431,昭通市,530600,云南省,530000
隆阳区,530502,2013,29969.61176,保山市,530500,云南省,530000
呈贡区,530114,2013,21061.05098,昆明市,530100,云南省,530000
东川区,530113,2013,14698.23529,昆明市,530100,云南省,530000
官渡区,530111,2013,29552.27843,昆明市,530100,云南省,530000
晋宁区,530115,2013,22109.14902,昆明市,530100,云南省,530000
盘龙区,530103,2013,14909.58824,昆明市,530100,云南省,530000
五华区,530102,2013,11148.55294,昆明市,530100,云南省,530000
西山区,530112,2013,23684.94902,昆明市,530100,云南省,530000
古城区,530702,2013,12773.06667,丽江市,530700,云南省,530000
临翔区,530902,2013,14750.72941,临沧市,530900,云南省,530000
思茅区,530802,2013,19815.5451,普洱市,530800,云南省,530000
马龙区,530304,2013,14070.65098,曲靖市,530300,云南省,530000
麒麟区,530302,2013,23125.39216,曲靖市,530300,云南省,530000
沾益区,530303,2013,22133.90196,曲靖市,530300,云南省,530000
红塔区,530402,2013,21643.31373,玉溪市,530400,云南省,530000
江川区,530403,2013,8007.694118,玉溪市,530400,云南省,530000
