id,county,perreggdp2000,perreggdp2001,perreggdp2002,perreggdp2003,perreggdp2004,perreggdp2005,perreggdp2006,perreggdp2007,perreggdp2008,perreggdp2009,perreggdp2010,perreggdp2011,perreggdp2012,perreggdp2013,perreggdp2014,perreggdp2015,perreggdp2016,perreggdp2017,perreggdp2018,perreggdp2019,perreggdp2020,perreggdp2021,perreggdp2022
140929,岢岚县,.23999999,.22,.28,.33000001,.41,.46000001,.51999998,.67000002,.80000001,.85000002,1.2,1.47,1.67,1.99,2.1800001,2.3199999,2.4100001,2.8099999,3.46,3.76,4.75,6.4699998,
140930,河曲县,.25,.25,.5,.74000001,.70999998,1.4,2.05,2.1199999,2.1300001,2.55,3.05,3.6800001,4.04,4.48,4.7399998,4.73,4.9699998,6.4499998,7.1500001,7.21,9.2299995,14.2,
140931,保德县,.28,.31,.31,.54000002,.74000001,.88,1.01,1.63,2.0999999,2.3499999,2.73,3.8199999,4.48,4.6599998,3.8399999,3.8699999,3.97,5.1999998,5.7800002,5.02,5.7199998,8.5,
140932,偏关县,.20999999,.17,.18000001,.47,.58999997,.62,.73000002,.98000002,1.14,1.2,1.46,1.83,2.0999999,2.26,2.28,2.1800001,2.21,2.4300001,2.79,2.95,4.4000001,5.4099998,
140981,原平市,.34,.31,.34,.37,.46000001,.54000002,.68000001,.89999998,1.03,1.04,1.42,1.9299999,2.1300001,2.3800001,2.1900001,2.1900001,2.3199999,2.8,3.1199999,2.8099999,3.52,4.6999998,
141002,尧都区,.58999997,.64999998,.70999998,.89999998,1.4,1.52,1.74,1.98,2.21,2.26,2.23,2.4300001,2.5999999,2.54,2.5899999,2.5699999,2.6800001,2.8900001,3.1400001,3.3699999,3.6099999,4.21,
141021,曲沃县,.47,.52999997,.63999999,.81999999,1.29,1.4299999,1.5599999,1.89,2.05,2.23,2.8199999,3.6300001,4.04,4.1700001,3.5999999,3.5599999,3.71,3.99,4.1100001,4.4200001,5.3400002,7.3699999,
141022,翼城县,.38999999,.44,.55000001,.75999999,1.14,1.22,1.36,1.58,1.6799999,1.5,1.86,2.51,2.6400001,2.79,2.1700001,2.22,2.27,2.3699999,2.3399999,2.1900001,2.79,3.46,
141023,襄汾县,.37,.44,.54000002,.74000001,1.08,1.3,1.54,1.76,1.7,1.7,2.1600001,2.71,2.8800001,2.78,2.7,2.52,2.5599999,2.6800001,2.8699999,2.76,3.0599999,3.9200001,
141024,洪洞县,.37,.40000001,.47,.63,.81,.98000002,1.1,1.21,1.49,1.52,1.65,2.02,2.23,2.23,2.22,2.1600001,2.1900001,2.24,2.21,1.97,2.3399999,3.0899999,
141025,古县,.49000001,.58999997,.67000002,1.1799999,2.22,2.5799999,2.95,3.8399999,5.2399998,4.79,5.4099998,7.6700001,6.7399998,5.4899998,4.79,4.5599999,4.6700001,5.0100002,5,5.21,6.3000002,8.0799999,
141026,安泽县,.40000001,.43000001,.50999999,.63999999,.88,1.17,1.4299999,1.9,3,3.73,4.9899998,5.9400001,6.1799998,5.8000002,5.5300002,5,5.0599999,5.4499998,7.4000001,7.3400002,8.5100002,11.82,
141027,浮山县,.23999999,.31,.38999999,.49000001,.91000003,1.09,1.37,1.63,1.4,1.38,2.01,2.45,2.98,3.6199999,3.6099999,3.27,3.4200001,3.6099999,3.51,3.1300001,3.9200001,5.2600002,
141028,吉县,.23,.25,.27000001,.31,.82999998,1.01,.52999997,.63,.74000001,.91000003,1.16,1.52,1.6799999,1.64,1.72,1.74,1.8200001,2,1.9400001,2.05,2.73,3.4100001,
141029,乡宁县,.43000001,.47,.52999997,.70999998,1.14,1.35,1.45,1.67,1.96,1.73,2.03,3.1099999,3.3199999,3.5999999,3.5,3.3599999,3.48,4.1799998,5.5,5.4000001,6.8400002,9.4399996,
141030,大宁县,.19,.2,.22,.25,.31999999,.34,.38999999,.43000001,.41,.62,.79000002,.58999997,.63999999,.67000002,.73000002,.68000001,.77999997,.88,1,1.4,2.0899999,2.8499999,
141031,隰县,.23,.25999999,.30000001,.41,.47,.47,.51999998,.61000001,.61000001,.62,.73000002,.86000001,.97000003,1.0599999,1.2,1.24,1.37,1.5,1.5599999,1.67,2.21,2.8299999,
141032,永和县,.18000001,.19,.22,.23999999,.27000001,.30000001,.33000001,.37,.38999999,.56,.69,.83999997,.89999998,.97000003,1.01,1.08,1.21,1.26,1.38,1.62,3.47,4.3200002,
141033,蒲县,.51999998,.58999997,.72000003,1.01,2.25,2.5799999,2.6900001,1.6799999,2.1800001,1.51,2.48,3.52,3.8,4.6999998,4.79,4.8899999,5.0300002,6.5799999,8.6700001,8.2399998,9.6400003,13.8,
141034,汾西县,.22,.25,.31,.38999999,.76999998,.89999998,1,1.0599999,1,.70999998,.94,1.1,1.1799999,1.25,1.28,1.3,1.4,1.66,1.61,1.48,2.3,2.77,
141081,侯马市,.63,.69999999,.79000002,.94999999,1.36,1.61,1.83,2.1400001,2.26,2.49,2.72,3.48,3.76,3.4200001,3.48,3.6099999,3.8299999,4.1700001,4.6199999,4.5799999,4.71,5.8899999,
141082,霍州市,.51999998,.56,.63999999,.74000001,1.02,1.26,1.4400001,1.49,1.71,1.9400001,2.0899999,2.75,3.04,2.98,3.0899999,2.5699999,2.4300001,2.6800001,2.8399999,2.7,2.97,3.7,
141102,离石区,,,,.62,.92000002,1.12,1.27,1.5,2.1199999,1.62,2.29,2.78,2.78,2.6099999,2.1300001,2.0599999,2.1199999,2.4400001,2.98,4.04,3.45,4.46,
141121,文水县,,,,.34999999,.41999999,.46000001,.51999998,.62,.79000002,.77999997,1.1,1.3200001,1.3200001,1.37,1.3,1.35,1.38,1.51,1.59,1.67,2.1199999,2.72,
141122,交城县,,,,.44,.77999997,.97000003,1.1799999,1.66,2.29,1.79,2.48,3.0699999,3.1600001,3,2.54,2.0999999,2.23,3.04,3.79,3.8199999,3.74,4.8200002,
141123,兴县,,,,.13,.23,.22,.27000001,.33000001,.47,.66000003,1.3,2,2.5,2.25,2.2,2.05,2.0899999,2.96,3.3699999,3.9100001,7.1799998,11.36,
141124,临县,,,,.079999998,.15000001,.16,.18000001,.23999999,.31,.36000001,.50999999,.69999999,.64999998,.69,.75,.69999999,.69999999,.92000002,1.15,1.5,2.55,3.9100001,
141125,柳林县,,,,.75,1.09,1.47,1.84,2.23,3.79,4.29,5.9299998,7.2399998,8.6700001,7.77,5.2199998,3.6900001,3.7,5.3099999,6.2199998,6.1500001,7.6300001,10.7,
141126,石楼县,,,,.13,.19,.2,.23999999,.25999999,.30000001,.34,.47999999,.56999999,.63999999,.69999999,.75999999,.69,.75,.82999998,.92000002,1.2,1.79,2.2,
141127,岚县,,,,.17,.31,.38,.46000001,.57999998,.68000001,.54000002,.60000002,.73000002,.92000002,1.1799999,1.8,1.83,1.54,1.83,2.3399999,2.7,2.98,4.4400001,
141128,方山县,,,,.17,.20999999,.23,.43000001,.60000002,.83999997,1.12,1.41,1.8200001,1.83,1.86,1.88,1.55,1.64,2.4200001,2.6500001,3.3800001,4.5700002,6.9000001,
141129,中阳县,,,,.79000002,1.37,1.63,1.9299999,2.22,2.79,2.3599999,3.29,5.5,4.3699999,4.6700001,4.2399998,3,3.1600001,4.5799999,5.73,7.2800002,8.4899998,12.71,
141130,交口县,,,,.86000001,1.4400001,1.77,2.03,2.6400001,3.1500001,1.0700001,1.42,2.75,3.3199999,3.6400001,2.8900001,2.48,2.8900001,4.4299998,5.3200002,4.4000001,4.4200001,6.4099998,
141181,孝义市,,,,.92000002,1.5700001,2.22,3.0799999,3.8099999,4.5700002,4.5500002,5.6900001,7.02,8.25,8.6800003,8.0200005,6.9699998,7.02,9.04,7.6999998,6.4699998,6.5599999,7.3600001,
141182,汾阳市,,,,.63,.86000001,1.0599999,1.24,1.5599999,1.8200001,1.61,2.04,2.8299999,2.74,2.5999999,2.1500001,2.1400001,2.46,3.05,3.6700001,4.6700001,4.3099999,5.98,
150102,新城区,1.33,1.49,2.1400001,2.6800001,3.5899999,4.5700002,5.75,6.9400001,8.1599998,9.5,10.75,12.13,13.59,9.5299997,14.15,11.87,12.54,,,,,,
