id,plngdppc2001,plngdppc2002,plngdppc2003,plngdppc2004,plngdppc2005,plngdppc2006,plngdppc2007,plngdppc2008,plngdppc2009,plngdppc2010,plngdppc2011,plngdppc2012,plngdppc2013,plngdppc2014,plngdppc2015,plngdppc2016,plngdppc2017,plngdppc2018,plngdppc2019,plngdppc2020,plngdppc2021,county,countycode,city,citycode,province,provincecode,location
23,9.6297445,9.6672001,9.8012276,9.9140329,10.136644,10.356122,10.545347,10.748527,10.846385,10.959655,11.191492,11.326134,11.346998,11.421026,11.47684,11.526587,11.578959,11.631218,11.697137,11.759275,11.858422,东丽区,120110,天津市,120000,天津市,120000,Eastern
24,9.5895109,9.6376162,9.7593489,9.9351387,10.12045,10.329633,10.49167,10.682687,10.790226,10.911963,11.125911,11.255334,11.332358,11.399808,11.450688,11.492105,11.546673,11.598758,11.669891,11.732924,11.832007,西青区,120111,天津市,120000,天津市,120000,Eastern
25,9.5538607,9.5859861,9.7423897,9.9105787,10.077548,10.274613,10.489166,10.698908,10.824656,10.947296,11.159262,11.266856,11.319616,11.381847,11.430192,11.475969,11.535426,11.591294,11.658105,11.721618,11.826053,津南区,120112,天津市,120000,天津市,120000,Eastern
26,9.6308365,9.6781893,9.8111391,9.92875,10.144236,10.331822,10.514627,10.697519,10.777698,10.91681,11.124604,11.297463,11.301179,11.372046,11.417976,11.463755,11.513012,11.561775,11.630638,11.701317,11.803503,北辰区,120113,天津市,120000,天津市,120000,Eastern
27,9.3990593,9.45961,9.5938311,9.7638617,9.93437,10.12112,10.30058,10.472408,10.567175,10.74949,10.957273,11.114382,11.154298,11.225755,11.285724,11.336913,11.392997,11.44409,11.514786,11.587488,11.680454,武清区,120114,天津市,120000,天津市,120000,Eastern
28,9.2681417,9.3748989,9.4886332,9.6445875,9.8028126,9.9586411,10.168243,10.393283,10.546847,10.681431,10.86947,10.991039,11.06086,11.122651,11.189608,11.24824,11.323435,11.372628,11.449337,11.512739,11.596645,宝坻区,120115,天津市,120000,天津市,120000,Eastern
29,9.5507278,9.5877275,9.7054367,9.8269358,10.060298,10.235574,10.407385,10.604353,10.712545,10.836903,11.068234,11.218342,11.257637,11.322221,11.370725,11.41881,11.47143,11.52602,11.642457,11.700087,11.787318,滨海新区,120116,天津市,120000,天津市,120000,Eastern
30,9.3087997,9.3636713,9.5019512,9.6336107,9.8176994,9.9682741,10.149014,10.34925,10.463692,10.622373,10.830597,10.991589,11.068408,11.14624,11.196264,11.25327,11.321095,11.373641,11.439727,11.503756,11.598162,宁河区,120117,天津市,120000,天津市,120000,Eastern
31,9.2988453,9.3603544,9.4747353,9.6866169,9.8737774,10.059153,10.258415,10.444489,10.534935,10.683985,10.904684,11.040169,11.134157,11.202913,11.249303,11.297503,11.362094,11.410502,11.474743,11.535431,11.62804,静海区,120118,天津市,120000,天津市,120000,Eastern
32,9.257206,9.3356142,9.4666672,9.6647024,9.8138666,10.000162,10.177964,10.359481,10.500576,10.647131,10.852269,10.946194,11.025095,11.09344,11.159766,11.214185,11.270692,11.334746,11.412325,11.473385,11.572622,蓟州区,120119,天津市,120000,天津市,120000,Eastern
33,9.3059292,9.3307352,9.4720573,9.5772276,9.8237696,9.9725609,10.138637,10.323295,10.375983,10.529704,10.738971,10.91674,10.912693,10.995796,11.045487,11.094202,11.145353,11.206202,11.274829,11.329785,11.422916,长安区,130102,石家庄市,130100,河北省,130000,Eastern
34,9.3383064,9.4249859,9.5397444,9.6506758,9.894413,10.05547,10.225906,10.422368,10.478538,10.627335,10.830986,10.977363,11.010975,11.085012,11.140722,11.183323,11.226874,11.281401,11.353732,11.408791,11.503983,桥西区,130104,石家庄市,130100,河北省,130000,Eastern
35,9.2964401,9.3588724,9.4853401,9.5922937,9.8088408,9.9580402,10.134734,10.335754,10.394601,10.545544,10.740744,10.900944,10.914644,10.997233,11.049827,11.098676,11.143089,11.191685,11.260226,11.317898,11.414478,新华区,130105,石家庄市,130100,河北省,130000,Eastern
