id,reggdp2001,reggdp_primary2001,perreggdp2001,plnpgdp2001,plngdp2001,plngdppc2001,nonagri_share2001,urbanland2001,urbanland_share2001,cropland2001,cropland_share2001,popden2001,urbanization2001,reggdp2011,reggdp_primary2011,perreggdp2011,plnpgdp2011,plngdp2011,plngdppc2011,nonagri_share2011,urbanland2011,urbanland_share2011,cropland2011,cropland_share2011,popden2011,urbanization2011,reggdp2021,reggdp_primary2021,perreggdp2021,plnpgdp2021,plngdp2021,plngdppc2021,nonagri_share2021,urbanland2021,urbanland_share2021,cropland2021,cropland_share2021,popden2021,urbanization2021,county,countycode,city,citycode,province,provincecode,location
11,,,,19.121548,22.990566,9.7709894,97.912117,6.0193272,30.637741,6.371943,43.590904,10.541285,81.382782,4550194,66075,8.2987299,20.576397,24.750469,11.284035,98.461052,6.0645127,32.053883,6.3476734,42.5457,10.888144,86.265358,12869778,72598,,20.597973,24.844873,11.92418,98.569145,6.1166759,33.77029,5.7100449,22.487293,11.772423,83.658012,昌平区,110114,北京市,110000,北京市,110000,Eastern
12,711300,122649,1.1183963,18.997738,22.97286,9.7617731,98.122299,5.9718385,37.922588,6.4645071,62.067081,10.951028,55.141136,3508338,186573,5.7523165,20.267214,24.751648,11.327651,98.871674,5.988874,38.574162,6.4541221,61.425835,11.182659,64.912155,14618409,146251,,20.260054,24.852272,12.010976,98.986961,6.0866137,42.534782,6.3850031,57.323566,11.823084,63.09446,大兴区,110115,北京市,110000,北京市,110000,Eastern
13,447500,42059,1.5646853,19.572964,22.931953,9.5771484,96.522964,4.1781878,3.0745308,6.9601951,49.658001,9.5656757,45.602951,1688076,71238,6.0897403,21.039835,24.689636,11.116842,97.400368,4.2125931,3.182152,6.7370858,39.727753,9.6270428,48.856285,4326128,45721,,21.050669,24.781857,11.75051,97.603561,4.3347826,3.5957294,6.0579543,20.144245,9.8177671,43.507557,怀柔区,110116,北京市,110000,北京市,110000,Eastern
14,371000,84772,.92288554,18.937233,22.859844,9.5480623,98.021065,4.2370558,7.2991872,6.5693355,75.191826,10.731202,30.937267,1366356,145284,3.4477818,20.426605,24.605841,11.066235,98.468979,4.2452955,7.3595777,6.5058613,70.567398,10.709498,32.268005,3592752,138695,,20.409546,24.742607,11.829385,98.687271,4.2722893,7.5609488,6.1699562,50.43388,10.736776,31.022081,平谷区,110117,北京市,110000,北京市,110000,Eastern
15,444600,78132,,19.535055,22.91489,9.5502195,96.594696,4.1210318,2.7672098,7.2678428,64.370193,9.9964342,17.07403,1635242,179445,3.4792383,20.982655,24.658934,11.04008,97.4683,4.1721911,2.9124629,7.2184563,61.268391,9.9347801,23.835573,3603131,140288,,20.99964,24.765852,11.739952,97.686043,4.2856765,3.2624698,6.5967636,32.903255,10.002121,24.652056,密云区,110118,北京市,110000,北京市,110000,Eastern
16,276800,80855,,19.54351,22.910606,9.5457859,96.551033,3.927047,2.5443239,7.11169,61.467461,9.6495543,14.27269,764227,94993,2.3882093,20.970198,24.612741,10.948162,97.381432,3.9565592,2.620532,7.0583663,58.275665,9.6087246,23.94383,2047392,61724,,20.981531,24.756706,11.759287,97.706696,4.0016112,2.741292,6.6525435,38.83654,9.7237377,24.588066,延庆区,110119,北京市,110000,北京市,110000,Eastern
17,367200,,.83606559,5.8776269,22.666653,9.8816242,99.999992,2.3012133,100,0,0,15.38316,100,5774700,,14.357781,6.9034805,24.421104,11.369791,100,2.3012133,100,0,0,15.252891,100,7912468,,17.05641,6.7619886,24.517719,12.000587,100,2.3012133,100,0,0,14.948176,100,和平区,120101,天津市,120000,天津市,120000,Eastern
18,268600,,.41240597,16.455576,22.730877,9.869072,99.811775,3.7391534,99.980133,0,0,14.643806,99.987984,2540600,,3.53844,17.204493,24.471764,11.328513,99.930199,3.7391534,99.980133,0,0,14.62242,99.923714,4009305,,,17.389288,24.564074,11.949427,99.923431,3.7391534,99.980133,0,0,14.514472,99.920639,河东区,120102,天津市,120000,天津市,120000,Eastern
19,300847,,.42679387,18.264364,22.744728,9.8639965,98.867073,3.8602505,98.193069,0,0,14.024235,99.939781,5851300,,7.2867994,19.480389,24.472523,11.301385,99.320885,3.8602505,98.193069,0,0,14.106195,99.657188,10258304,,10.996145,19.602512,24.580257,11.960263,99.311043,3.8602505,98.193069,0,0,14.464507,99.770744,河西区,120103,天津市,120000,天津市,120000,Eastern
20,277385,,.35930702,16.096689,22.72818,9.867506,99.868179,3.6904638,97.680222,0,0,14.34097,99.960854,4800100,,5.5390029,17.295801,24.46207,11.309476,99.922783,3.6904638,97.680222,0,0,14.411507,99.054314,6694422,,7.3179073,17.475042,24.566496,11.964528,99.916779,3.6904638,97.680222,0,0,14.686804,97.415947,南开区,120104,天津市,120000,天津市,120000,Eastern
