id,gdp2000,gdp2001,gdp2002,gdp2003,gdp2004,gdp2005,gdp2006,gdp2007,gdp2008,gdp2009,gdp2010,gdp2011,gdp2012,gdp2013,gdp2014,gdp2015,gdp2016,gdp2017,gdp2018,gdp2019,gdp2020,regionid
28,12.083182,12.182467,12.295692,12.411216,12.581052,12.736091,12.895877,13.100298,13.308872,13.457916,13.638088,13.813923,13.937652,14.022442,14.085764,14.149483,14.207832,14.285971,14.356359,14.422756,14.452897,120115
29,12.323439,12.413389,12.479914,12.598097,12.744865,12.950211,13.123017,13.302137,13.491918,13.610584,13.783911,13.98873,14.131565,14.195929,14.261121,14.312484,14.363773,14.426797,14.5008,14.54425,14.570525,120116
30,12.092431,12.190488,12.268974,12.40093,12.554502,12.726856,12.883126,13.068223,13.260191,13.383042,13.579346,13.768693,13.918815,14.008293,14.082355,14.134737,14.191998,14.2652,14.337834,14.394417,14.424977,120117
31,12.141671,12.200596,12.283527,12.399484,12.606763,12.781174,12.960741,13.15824,13.340727,13.447513,13.63737,13.835072,13.968116,14.069094,14.137078,14.187027,14.238393,14.309431,14.379295,14.435229,14.463553,120118
32,12.090206,12.179357,12.273602,12.40072,12.59873,12.747703,12.927886,13.111017,13.290453,13.431149,13.619336,13.806618,13.911838,14.002714,14.070423,14.13372,14.189249,14.254875,14.335215,14.40011,14.428683,120119
33,12.257671,12.295909,12.354269,12.488262,12.624101,12.838264,12.99334,13.16862,13.35016,13.431671,13.624655,13.814699,13.976052,14.011375,14.088966,14.141127,14.192836,14.254875,14.333067,14.394701,14.419188,130102
34,12.23366,12.263233,12.363013,12.479222,12.618918,12.831203,12.994491,13.17269,13.362132,13.445972,13.63566,13.821945,13.962283,14.022929,14.094444,14.150634,14.19825,14.255201,14.329162,14.39484,14.419395,130104
35,12.208962,12.257454,12.341002,12.465051,12.602084,12.796166,12.951514,13.133904,13.326397,13.412033,13.603155,13.783783,13.933374,13.980525,14.057773,14.111876,14.163674,14.221203,14.291192,14.354333,14.380638,130105
36,11.911053,11.99357,12.105678,12.188125,12.454175,12.640313,12.734962,12.935928,13.096965,13.223247,13.477809,13.605122,13.774916,13.849988,13.927363,13.966994,14.016525,14.080987,14.157567,14.213918,14.263929,130107
37,12.19271,12.235358,12.334136,12.460553,12.635736,12.807017,12.972539,13.158802,13.359771,13.439635,13.632035,13.845251,13.975311,14.036745,14.111586,14.165142,14.217081,14.281773,14.355796,14.42135,14.445239,130108
38,12.061425,12.141817,12.223306,12.362647,12.559934,12.689137,12.823784,13.036329,13.243378,13.368318,13.542521,13.759402,13.8982,13.991361,14.070068,14.121676,14.178446,14.257315,14.331989,14.405488,14.433865,130109
